Benchmark,Size,Processes,Section,min time,avg time,max time,%varavg,%total
in.chain,256,2,Comm,0.84521,1.3298,1.8143,42.0,24.01
in.chain,256,2,Output,0.00030071,0.00033181,0.00036292,0.0,0.01
in.chain,256,2,Modify,0.70046,0.97123,1.242,27.5,17.53
in.chain,256,2,Other,,0.4998,,,9.02
in.chain,256,4,Pair,0.45803,0.55006,0.79956,19.4,18.54
in.chain,256,4,Bond,0.08166,0.10848,0.18432,13.3,3.66
in.chain,256,4,Neigh,0.65006,0.69248,0.7271,3.6,23.34
in.chain,256,4,Comm,0.60548,0.8874,1.0192,17.5,29.91
in.chain,256,4,Output,0.00013348,0.00014706,0.00015733,0.0,0.00
in.chain,256,4,Modify,0.36096,0.42292,0.58875,14.8,14.25
in.chain,256,4,Other,,0.3053,,,10.29
in.chain,256,8,Pair,0.24039,0.25426,0.28214,2.2,15.69
in.chain,256,8,Bond,0.042155,0.044912,0.051621,1.2,2.77
in.chain,256,8,Neigh,0.48377,0.49226,0.50139,1.2,30.38
in.chain,256,8,Comm,0.29494,0.34261,0.37815,4.9,21.14
in.chain,256,8,Output,0.0001068,0.00032071,0.00054011,0.0,0.02
in.chain,256,8,Modify,0.19102,0.20659,0.25435,4.0,12.75
in.chain,256,8,Other,,0.2794,,,17.24
in.chain,256,16,Pair,0.12647,0.12737,0.13337,0.4,15.11
in.chain,256,16,Bond,0.022077,0.023107,0.034038,1.9,2.74
in.chain,256,16,Neigh,0.30709,0.3199,0.36133,2.7,37.95
in.chain,256,16,Comm,0.13286,0.18632,0.2285,7.4,22.10
in.chain,256,16,Output,6.4799e-05,8.5566e-05,0.00026502,0.0,0.01
in.chain,256,16,Modify,0.098307,0.10019,0.12515,2.0,11.88
in.chain,256,16,Other,,0.08604,,,10.21
in.chain,256,32,Pair,0.05603,0.067249,0.12065,3.9,14.72
in.chain,256,32,Bond,0.0085832,0.011599,0.040663,4.9,2.54
in.chain,256,32,Neigh,0.10179,0.1169,0.11834,1.1,25.60
in.chain,256,32,Comm,0.053156,0.15896,0.22033,13.0,34.81
in.chain,256,32,Output,8.3511e-05,0.00010188,0.00018987,0.0,0.02
in.chain,256,32,Modify,0.038788,0.048009,0.049861,1.6,10.51
in.chain,256,32,Other,,0.0539,,,11.80
in.chain,256,64,Pair,0.025511,0.030706,0.042429,1.9,12.57
in.chain,256,64,Bond,0.0042267,0.0049972,0.0055405,0.7,2.05
in.chain,256,64,Neigh,0.061955,0.0622,0.062567,0.1,25.47
in.chain,256,64,Comm,0.036036,0.061106,0.087682,7.8,25.02
in.chain,256,64,Output,4.1613e-05,0.0092941,0.016068,8.2,3.81
in.chain,256,64,Modify,0.019426,0.023452,0.051719,2.8,9.60
in.chain,256,64,Other,,0.05243,,,21.47
in.chain,864,2,Pair,2.9538,4.3992,5.8447,68.9,21.18
in.chain,864,2,Bond,0.52202,0.80122,1.0804,31.2,3.86
in.chain,864,2,Neigh,5.0519,5.1077,5.1636,2.5,24.59
in.chain,864,2,Comm,3.6903,5.4616,7.233,75.8,26.30
in.chain,864,2,Output,0.00099658,0.017029,0.033061,12.3,0.08
in.chain,864,2,Modify,2.2816,3.4019,4.5222,60.7,16.38
in.chain,864,2,Other,,1.581,,,7.61
in.chain,864,4,Pair,1.4676,1.7941,2.7017,39.1,17.65
in.chain,864,4,Bond,0.27645,0.38796,0.70505,29.4,3.82
in.chain,864,4,Neigh,2.3525,2.4368,2.482,3.4,23.98
in.chain,864,4,Comm,1.8063,3.1553,3.7319,44.3,31.05
in.chain,864,4,Output,0.00051575,0.012484,0.016511,6.2,0.12
in.chain,864,4,Modify,1.135,1.3743,2.0155,31.6,13.52
in.chain,864,4,Other,,1.002,,,9.86
in.chain,864,8,Pair,0.76399,0.85288,1.3618,20.9,16.41
in.chain,864,8,Bond,0.14638,0.17461,0.34781,15.7,3.36
in.chain,864,8,Neigh,1.1607,1.1935,1.208,1.5,22.96
in.chain,864,8,Comm,1.007,1.6211,1.7537,18.3,31.19
in.chain,864,8,Output,0.00029514,0.00032721,0.00036752,0.0,0.01
in.chain,864,8,Modify,0.58855,0.66497,1.0789,19.3,12.80
in.chain,864,8,Other,,0.6896,,,13.27
in.chain,864,16,Pair,0.40601,0.45607,0.69036,9.4,15.23
in.chain,864,16,Bond,0.07531,0.083782,0.11753,3.2,2.80
in.chain,864,16,Neigh,0.57476,0.63199,0.72496,4.0,21.11
