Benchmark,MPI_(%),MPI_Time,MPI_Allreduce,MPI_Waitany,MPI_Sendrecv,MPI_Bcast,MPI_Alltoall,MPI_Allgather,MPI_Cart_get,MPI_Comm_rank,MPI_Barrier,MPI_Finalize,MPI_Comm_dup,MPI_Reduce,MPI_Send,MPI_Comm_size,MPI_Init,MPI_Comm_free,MPI_Irecv,MPI_Cart_rank,MPI_Alltoallv,MPI_Wait,MPI_Cart_shift,MPI_Cart_create,Processes,Size
in.rhodo,51.1,517.25,20.15,28.51,0.94,2.3,0.04,0.08,0.0,0.0,0.14,0.03,0.01,0.0,2.25,0.0,8.56,0.0,0.03,0.0,0.25,36.7,0.0,0.01,32.0,2048.0
in.rhodo,55.2,704.93,20.14,29.76,0.36,1.21,0.11,0.0,0.0,0.0,0.03,0.07,0.01,0.0,1.42,0.0,20.35,0.0,0.04,0.0,0.8,25.69,0.0,0.01,64.0,2048.0
in.rhodo-double,0.09,0.09,4.57,0.0,0.0,0.74,0.03,0.01,0.0,0.01,0.05,24.67,0.54,0.01,0.0,0.0,66.08,1.84,0.0,0.0,1.35,0.0,0.0,0.08,1.0,32.0
in.rhodo-double,24.14,31.17,42.81,16.96,2.36,1.22,0.0,0.44,0.0,0.0,0.01,0.08,0.52,0.0,5.29,0.0,3.9,0.0,0.01,0.0,0.0,26.4,0.0,0.0,2.0,32.0
in.rhodo-double,49.12,72.64,34.67,12.11,1.85,1.76,0.15,0.03,0.0,0.0,0.0,0.13,0.0,0.0,2.25,0.0,1.77,0.0,0.02,0.0,0.39,44.73,0.0,0.14,4.0,32.0
in.rhodo-double,63.6,110.78,16.78,17.81,1.83,5.57,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.46,0.0,2.74,0.0,0.03,0.0,0.01,54.4,0.0,0.35,8.0,32.0
in.rhodo-double,69.32,145.74,16.24,30.34,0.37,5.81,0.01,0.11,0.0,0.0,0.0,0.03,0.01,0.0,0.65,0.0,7.24,0.0,0.06,0.0,0.02,39.1,0.0,0.01,16.0,32.0
in.rhodo-double,84.33,365.79,29.39,25.72,1.47,9.28,0.03,0.0,0.0,0.0,0.0,0.04,0.01,0.0,0.44,0.0,10.3,0.0,0.05,0.0,1.31,21.71,0.0,0.23,32.0,32.0
in.rhodo-double,88.83,663.3,28.09,28.02,0.61,6.3,0.37,0.0,0.0,0.0,0.37,0.22,0.01,0.0,0.53,0.0,21.94,0.0,0.06,0.0,0.53,12.58,0.0,0.37,64.0,32.0
in.rhodo-double,0.06,0.08,2.97,0.0,0.0,0.23,0.06,0.01,0.01,0.01,0.04,27.82,0.25,0.69,0.0,0.0,62.33,2.04,0.0,0.0,3.38,0.0,0.0,0.14,1.0,256.0
in.rhodo-double,14.0,22.17,34.12,9.88,1.21,2.72,0.75,0.18,0.0,0.0,0.04,0.01,0.01,0.0,17.06,0.0,5.04,0.0,0.01,0.0,0.18,28.68,0.0,0.12,2.0,256.0
in.rhodo-double,45.0,84.19,27.68,10.95,1.47,5.33,0.27,0.03,0.0,0.0,0.19,0.23,0.0,0.0,8.46,0.0,1.44,0.0,0.01,0.0,0.01,43.95,0.0,0.0,4.0,256.0
in.rhodo-double,61.98,145.27,31.06,14.53,1.99,5.3,0.31,0.14,0.0,0.0,0.01,0.03,0.28,0.0,1.46,0.0,2.15,0.0,0.01,0.0,0.12,42.49,0.0,0.13,8.0,256.0
in.rhodo-double,62.78,145.57,24.35,19.59,1.87,9.12,0.28,0.0,0.0,0.0,0.63,0.29,0.01,0.0,0.97,0.0,7.23,0.0,0.02,0.0,0.57,35.05,0.0,0.01,16.0,256.0
in.rhodo-double,76.41,283.05,29.65,12.21,2.03,17.71,0.48,1.94,0.0,0.0,0.13,0.36,2.24,0.0,0.53,0.0,13.31,0.0,0.02,0.0,1.06,18.32,0.0,0.01,32.0,256.0
in.rhodo-double,79.88,413.31,22.52,12.19,1.07,7.38,1.24,0.38,0.0,0.0,0.01,0.36,0.32,0.0,0.51,0.0,35.95,0.0,0.03,0.0,3.76,13.49,0.0,0.81,64.0,256.0
in.rhodo-double,0.02,0.11,2.82,0.0,0.0,0.62,0.08,0.01,0.0,0.01,0.03,31.76,0.46,0.02,0.0,0.0,58.4,0.97,0.0,0.0,4.7,0.0,0.0,0.1,1.0,864.0
in.rhodo-double,5.87,28.7,28.39,13.48,2.08,5.21,0.64,0.02,0.0,0.0,0.11,0.09,0.01,0.0,17.53,0.0,3.97,0.0,0.01,0.0,0.31,28.09,0.0,0.07,2.0,864.0
in.rhodo-double,33.92,178.45,19.53,5.75,2.28,4.55,0.25,0.18,0.0,0.0,0.15,0.05,0.14,0.0,10.44,0.0,0.68,0.0,0.01,0.0,0.0,55.95,0.0,0.02,4.0,864.0
in.rhodo-double,49.6,290.45,19.47,9.46,2.94,2.97,0.32,0.0,0.0,0.0,0.11,0.01,0.0,0.0,7.89,0.0,1.07,0.0,0.03,0.0,0.02,55.62,0.0,0.06,8.0,864.0
in.rhodo-double,55.82,343.86,26.71,18.56,1.7,4.48,0.69,0.05,0.0,0.0,0.2,0.01,0.0,0.0,2.03,0.0,3.04,0.0,0.02,0.0,2.54,39.86,0.0,0.1,16.0,864.0
in.rhodo-double,62.67,458.17,26.15,22.33,0.78,12.51,0.59,0.07,0.0,0.0,0.14,0.03,0.01,0.0,0.97,0.0,8.06,0.0,0.02,0.0,1.44,26.9,0.0,0.01,32.0,864.0
in.rhodo-double,72.6,839.11,31.63,20.33,1.36,2.41,0.75,0.4,0.0,0.0,0.5,0.15,0.55,0.0,0.71,0.0,17.53,0.0,0.02,0.0,3.26,20.19,0.0,0.21,64.0,864.0
