Summary information
Application;lmp_intel_cpu_intelmpi
Report creation date;2022-05-19 14:25:14
OpenMP threads number, per Process;1
Used statistics;./in.eam.timer_1n_1ont_2048k_aps
Elapsed Time, s;1.50
MPI Time, s;0.07
MPI Time, % of Elapsed Time;4.82
MPI Imbalance;                            N/A*

Top 5 MPI functions (avg time)
Name;Time,sec;% from Elapsed time
MPI Hotspot 1 - MPI_Init, s;0.07
MPI Hotspot 1 - MPI_Init, % of Elapsed Time;4.78
MPI Hotspot 2 - MPI_Cart_create, s;0.00
MPI Hotspot 2 - MPI_Cart_create, % of Elapsed Time;0.01
MPI Hotspot 3 - MPI_Bcast, s;0.00
MPI Hotspot 3 - MPI_Bcast, % of Elapsed Time;0.01
MPI Hotspot 4 - MPI_Allreduce, s;0.00
MPI Hotspot 4 - MPI_Allreduce, % of Elapsed Time;0.01
MPI Hotspot 5 - MPI_Barrier, s;0.00
MPI Hotspot 5 - MPI_Barrier, % of Elapsed Time;0.00
Disk I/O Bound, s;0.00
Memory Footprint
Resident,MB;        659.00
Virtual,MB;       1882.00
