Benchmark,Max_MPI_(%),Min_MPI_(%),MPI_(%),MPI_Imb_(%),Max_Imb_(%),Min_Imb_(%),MPI_Time,MPI_Cart_create,MPI_Wait,MPI_Allreduce,MPI_Cart_shift,MPI_Send,MPI_Comm_free,MPI_Comm_size,MPI_Scan,MPI_Type_size,MPI_Cart_get,MPI_Reduce,MPI_Barrier,MPI_Cart_rank,MPI_Sendrecv,MPI_Irecv,MPI_Bcast,MPI_Finalize,MPI_Init,MPI_Comm_rank,Processes,Size
in.lj,87.65,61.63,78.51,18.82,22.36,1.49,75.67,0.03,23.66,0.58,0.0,0.44,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.0,1.19,0.03,2.04,0.2,71.82,0.0,32.0,864.0
in.lj,95.6,80.24,89.45,11.19,12.48,0.32,176.09,0.03,12.86,1.31,0.0,0.25,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.38,0.02,0.64,0.29,84.21,0.0,64.0,864.0
in.lj,3.6,3.6,3.6,0.0,0.0,0.0,0.05,0.26,0.0,0.08,0.01,0.0,0.04,0.0,0.03,0.0,0.01,0.0,0.05,0.01,0.0,0.0,0.21,0.0,99.29,0.01,1.0,2048.0
in.lj,64.39,54.87,61.04,9.56,23.71,1.9,1.46,0.03,1.22,9.95,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,5.05,0.0,0.74,0.0,82.8,0.0,2.0,2048.0
in.lj,50.46,6.03,38.79,35.11,47.29,0.04,28.7,0.0,57.37,0.69,0.0,32.2,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,2.96,0.03,0.17,0.06,6.36,0.0,4.0,2048.0
in.lj,55.76,8.01,46.52,37.6,43.67,0.11,37.1,0.0,79.91,0.82,0.0,1.74,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,2.38,0.04,0.58,0.07,14.44,0.0,8.0,2048.0
in.lj,54.14,30.68,49.96,33.87,38.99,0.36,44.83,0.02,66.98,2.26,0.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,2.25,0.09,0.66,0.08,24.24,0.0,16.0,2048.0
in.lj,76.09,38.2,63.5,28.79,35.4,2.37,83.89,0.03,46.87,1.38,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.97,0.06,0.99,0.16,47.08,0.0,32.0,2048.0
in.lj,89.77,64.71,79.96,19.29,21.98,1.31,211.71,0.02,25.94,1.02,0.0,0.39,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.0,1.05,0.03,0.58,0.64,70.31,0.0,64.0,2048.0
in.lj-double,5.49,5.49,5.49,0.0,0.0,0.0,0.06,0.12,0.0,0.07,0.0,0.0,0.01,0.0,0.02,0.0,0.01,0.02,0.02,0.0,0.0,0.0,0.08,2.54,97.1,0.0,1.0,32.0
in.lj-double,83.58,48.67,68.81,18.53,22.11,15.9,2.34,0.01,36.36,1.71,0.0,13.54,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.01,0.01,1.92,1.22,45.2,0.0,2.0,32.0
in.lj-double,93.59,83.33,90.64,55.55,81.83,36.35,8.72,0.01,79.43,0.76,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.92,0.01,0.21,0.34,13.81,0.0,4.0,32.0
in.lj-double,98.12,94.65,97.04,71.35,85.7,40.17,27.14,0.01,76.91,6.23,0.0,0.07,0.0,0.0,0.0,0.0,0.0,1.44,0.95,0.0,0.96,0.01,0.44,0.6,12.4,0.0,8.0,32.0
in.lj-double,98.48,96.07,97.49,58.67,66.27,28.25,34.45,0.02,65.06,0.06,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.95,0.01,0.98,2.05,29.69,0.0,16.0,32.0
in.lj-double,99.04,96.91,98.01,17.58,20.63,7.26,47.37,0.02,17.96,0.09,0.0,0.17,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.0,1.36,0.01,1.33,0.33,78.71,0.0,32.0,32.0
in.lj-double,99.74,97.82,99.34,26.21,28.57,10.89,205.5,0.34,22.16,3.21,0.0,0.07,0.0,0.0,0.01,0.0,0.0,0.0,0.55,0.0,1.47,0.0,0.94,0.31,70.93,0.0,64.0,32.0
in.lj-double,0.86,0.86,0.86,0.0,0.0,0.0,0.07,0.09,0.0,0.84,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.02,0.03,0.0,0.0,0.0,0.8,30.91,67.26,0.0,1.0,256.0
in.lj-double,56.7,33.59,45.57,20.26,25.95,14.14,6.96,0.0,43.18,13.86,0.0,16.73,0.0,0.0,0.46,0.0,0.0,0.0,0.47,0.0,2.45,0.0,6.15,0.21,16.49,0.0,2.0,256.0
in.lj-double,70.41,47.57,61.04,38.47,61.96,15.65,9.58,0.01,69.44,0.52,0.0,14.93,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.82,0.02,1.31,0.06,12.89,0.0,4.0,256.0
in.lj-double,86.28,69.62,81.67,60.87,73.38,29.94,24.99,0.0,50.18,8.15,0.0,0.66,0.0,0.0,0.31,0.0,0.0,1.98,0.26,0.0,3.09,0.01,22.88,0.16,12.3,0.0,8.0,256.0
in.lj-double,92.47,75.75,88.9,58.72,66.55,28.55,44.86,1.3,56.14,8.81,0.0,0.19,0.0,0.0,0.32,0.0,0.0,0.4,1.14,0.0,3.41,0.02,4.54,0.12,23.6,0.0,16.0,256.0
in.lj-double,96.23,79.52,92.25,34.12,38.44,13.66,66.5,0.03,29.51,7.06,0.0,0.24,0.0,0.0,0.01,0.0,0.0,0.55,0.01,0.0,1.69,0.01,4.5,0.97,55.44,0.0,32.0,256.0
in.lj-double,98.85,93.0,97.12,15.94,17.38,6.34,181.7,0.53,8.8,6.23,0.0,0.12,0.0,0.0,0.01,0.0,0.0,0.02,0.01,0.0,1.4,0.01,1.75,0.67,80.45,0.0,64.0,256.0
in.lj-double,0.23,0.23,0.23,0.0,0.0,0.0,0.06,0.1,0.0,0.97,0.0,0.0,0.01,0.0,0.02,0.0,0.0,0.02,0.04,0.0,0.0,0.0,0.88,8.91,89.03,0.0,1.0,864.0
in.lj-double,16.28,15.48,15.88,5.93,6.21,5.65,5.11,0.0,49.85,4.81,0.0,16.49,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,4.51,0.01,0.77,0.57,22.98,0.0,2.0,864.0
in.lj-double,56.81,18.69,38.01,27.72,50.22,6.23,12.79,0.0,32.92,7.47,0.0,46.12,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,3.01,0.03,1.04,0.04,9.36,0.0,4.0,864.0
in.lj-double,63.03,24.76,50.58,36.17,48.07,6.63,19.58,0.01,75.39,1.25,0.0,4.96,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.0,1.93,0.04,0.55,0.13,15.73,0.0,8.0,864.0
in.lj-double,75.79,47.82,71.26,48.49,55.95,12.66,48.03,0.02,70.52,1.62,0.0,2.94,0.0,0.0,0.0,0.0,0.0,0.0,0.57,0.0,2.23,0.05,0.55,0.23,21.27,0.0,16.0,864.0
in.lj-double,91.49,73.68,86.31,52.64,58.38,23.1,120.63,1.21,48.39,5.42,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.89,1.64,0.0,3.21,0.03,7.46,0.53,30.98,0.0,32.0,864.0
in.lj-double,95.42,80.66,91.66,25.75,27.9,9.45,222.51,1.1,26.45,2.6,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,1.32,0.02,1.35,0.65,66.05,0.0,64.0,864.0
in.lj-double,2.35,2.35,2.35,0.0,0.0,0.0,0.05,0.13,0.0,0.09,0.0,0.0,0.02,0.0,0.03,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.11,0.0,99.58,0.01,1.0,2048.0
in.lj-double,67.98,34.24,55.78,10.68,14.79,3.42,1.41,0.01,0.37,7.43,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,1.45,0.0,3.06,0.0,87.5,0.0,2.0,2048.0
in.lj-double,56.09,10.81,33.99,28.67,52.98,4.5,26.62,0.0,16.21,2.77,0.0,70.92,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,4.0,0.03,0.98,0.08,4.8,0.0,4.0,2048.0
in.lj-double,60.12,14.53,45.71,37.84,50.34,3.76,38.17,0.01,81.72,1.19,0.0,3.53,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,3.19,0.04,0.8,0.11,8.92,0.0,8.0,2048.0
in.lj-double,68.42,33.33,60.66,45.57,53.43,10.71,68.29,0.01,70.98,4.69,0.0,4.25,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.0,2.46,0.08,1.54,0.21,15.29,0.0,16.0,2048.0
in.lj-double,81.59,56.66,72.5,43.23,50.46,10.39,119.49,0.01,53.67,7.72,0.0,0.93,0.0,0.0,0.0,0.0,0.0,0.69,0.57,0.0,4.35,0.06,0.49,0.28,31.22,0.0,32.0,2048.0
in.lj-double,90.51,70.59,82.78,28.02,31.68,7.92,249.65,0.93,30.27,5.85,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,2.02,0.03,0.81,0.69,58.92,0.0,64.0,2048.0
in.lj-single,5.89,5.89,5.89,0.0,0.0,0.0,0.06,0.1,0.0,0.07,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.01,0.02,0.0,0.0,0.0,0.09,22.71,76.96,0.01,1.0,32.0
in.lj-single,84.6,51.2,71.53,17.34,20.83,15.1,2.63,0.01,25.81,2.44,0.0,9.23,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,3.61,0.01,7.01,0.95,50.92,0.0,2.0,32.0
in.lj-single,92.75,85.3,89.84,52.19,76.48,34.6,6.73,0.01,70.49,4.75,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.46,0.01,1.41,0.24,17.46,0.0,4.0,32.0
in.lj-single,96.31,87.74,94.04,59.67,74.17,32.82,13.17,0.01,55.84,4.47,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.78,0.01,8.37,0.1,24.27,0.0,8.0,32.0
