Summary information
Application;lmp_intel_cpu_intelmpi
Report creation date;2022-05-19 13:46:58
Number of ranks;4
Ranks per node;4
OpenMP threads number, per Rank;1
HW Platform;Intel(R) Xeon(R) Processor code named Icelake
Frequency;2593987541
Logical core count per node;128
Collector type;Driverless Perf system-wide counting
Used statistics;./in.chain.timer_4n_1ont_32k_aps
Elapsed Time, s;1.17
SP GFLOPS;1.20
DP GFLOPS;0.69
Average CPU Frequency, GHz;                      1.36
Instructions Per Cycle Rate;1.19
MPI Time, s;0.35
MPI Time, % of Elapsed Time;30.04
MPI Imbalance, s;0.05
MPI Imbalance, % of Elapsed Time;3.93

Top 5 MPI functions (avg time)
Name;Time,sec;% from Elapsed time
MPI Hotspot 1 - MPI_Init, s;0.29
MPI Hotspot 1 - MPI_Init, % of Elapsed Time;25.08
MPI Hotspot 2 - MPI_Bcast, s;0.03
MPI Hotspot 2 - MPI_Bcast, % of Elapsed Time;2.98
MPI Hotspot 3 - MPI_Wait, s;0.01
MPI Hotspot 3 - MPI_Wait, % of Elapsed Time;0.83
MPI Hotspot 4 - MPI_Allreduce, s;0.00
MPI Hotspot 4 - MPI_Allreduce, % of Elapsed Time;0.33
MPI Hotspot 5 - MPI_Send, s;0.00
MPI Hotspot 5 - MPI_Send, % of Elapsed Time;0.30
Memory Stalls, % of Pipeline Slots;13.30
Cache Stalls, % of Cycles;17.50
DRAM Stalls, % of Cycles;1.10
DRAM Bandwidth Peak, GB/s;16.23
DRAM Bandwidth Average, GB/s;0.91
DRAM Bandwidth Bound, %;0.00
NUMA, % of Remote Accesses;6.20
Vectorization, %;36.70
SP FLOPs, % of uOps;2.00
Packed, % from SP FP;48.80
SP 128-bit, %;0.00
SP 256-bit, %;2.40
SP 512-bit, %;46.30
SP Scalar, % from SP FP;51.20
DP FLOPs, % of uOps;3.10
DP Packed, % from DP FP;28.80
DP 128-bit, %;0.00
DP 256-bit, %;0.00
DP 512-bit, %;28.80
DP Scalar, % from DP FP;71.20
Non-FP, % of uOps;94.90
FP Arith/Mem Rd Instr. Ratio;0.21
FP Arith/Mem Wr Instr. Ratio;0.50
Disk I/O Bound, s;0.00
Memory Footprint
Resident
Per node
Peak resident set size,MB;          519.00
Peak resident set node;instance-20220519-1049
Average resident set size,MB;          519.00
Per rank
Peak resident set size,MB;          131.00
Peak resident set rank;0
Average resident set size,MB;          129.75
Virtual
Per node
Peak memory consumption,MB;        11846.00
Peak memory consumption node;instance-20220519-1049
Average memory consumption,MB;        11846.00
Per rank
Peak memory consumption,MB;         2964.00
Peak memory consumption rank;0
Average memory consumption,MB;         2961.50
