Summary information
Application;lmp_intel_cpu_intelmpi
Report creation date;2022-04-21 17:17:28
Number of ranks;16
Ranks per node;16
OpenMP threads number, per Rank;1
Used statistics;./in.rhodo.scaled.timer_16n_1ont_2048k_aps
Elapsed Time, s;12.94
MPI Time, s;0.99
MPI Time, % of Elapsed Time;7.69
MPI Imbalance, s;0.28
MPI Imbalance, % of Elapsed Time;2.14

Top 5 MPI functions (avg time)
Name;Time,sec;% from Elapsed time
MPI Hotspot 1 - MPI_Init, s;0.34
MPI Hotspot 1 - MPI_Init, % of Elapsed Time;2.66
MPI Hotspot 2 - MPI_Wait, s;0.23
MPI Hotspot 2 - MPI_Wait, % of Elapsed Time;1.77
MPI Hotspot 3 - MPI_Send, s;0.13
MPI Hotspot 3 - MPI_Send, % of Elapsed Time;1.01
MPI Hotspot 4 - MPI_Allreduce, s;0.11
MPI Hotspot 4 - MPI_Allreduce, % of Elapsed Time;0.81
MPI Hotspot 5 - MPI_Bcast, s;0.07
MPI Hotspot 5 - MPI_Bcast, % of Elapsed Time;0.54
Disk I/O Bound, s;0.00
Memory Footprint
Resident
Per node
Peak resident set size,MB;         7611.00
Peak resident set node;instance-20220421-1624
Average resident set size,MB;         7611.00
Per rank
Peak resident set size,MB;          482.00
Peak resident set rank;7
Average resident set size,MB;          475.69
Virtual
Per node
Peak memory consumption,MB;        75643.00
Peak memory consumption node;instance-20220421-1624
Average memory consumption,MB;        75643.00
Per rank
Peak memory consumption,MB;         4730.00
Peak memory consumption rank;9
Average memory consumption,MB;         4727.69
