Summary information
Application;lmp_intel_cpu_intelmpi
Report creation date;2022-05-19 14:15:25
Number of ranks;2
Ranks per node;2
OpenMP threads number, per Rank;1
HW Platform;Intel(R) Xeon(R) Processor code named Icelake
Frequency;2593987217
Logical core count per node;128
Collector type;Driverless Perf system-wide counting
Used statistics;./in.eam.timer_2n_1ont_32k_aps
Elapsed Time, s;1.94
SP GFLOPS;3.89
DP GFLOPS;1.37
Average CPU Frequency, GHz;                      1.35
Instructions Per Cycle Rate;0.63
MPI Time, s;0.71
MPI Time, % of Elapsed Time;36.56
MPI Imbalance, s;0.01
MPI Imbalance, % of Elapsed Time;0.75

Top 5 MPI functions (avg time)
Name;Time,sec;% from Elapsed time
MPI Hotspot 1 - MPI_Init, s;0.66
MPI Hotspot 1 - MPI_Init, % of Elapsed Time;33.93
MPI Hotspot 2 - MPI_Wait, s;0.03
MPI Hotspot 2 - MPI_Wait, % of Elapsed Time;1.31
MPI Hotspot 3 - MPI_Bcast, s;0.01
MPI Hotspot 3 - MPI_Bcast, % of Elapsed Time;0.54
MPI Hotspot 4 - MPI_Send, s;0.01
MPI Hotspot 4 - MPI_Send, % of Elapsed Time;0.39
MPI Hotspot 5 - MPI_Allreduce, s;0.00
MPI Hotspot 5 - MPI_Allreduce, % of Elapsed Time;0.20
Memory Stalls, % of Pipeline Slots;27.60
Cache Stalls, % of Cycles;29.40
DRAM Stalls, % of Cycles;5.60
DRAM Bandwidth Peak, GB/s;7.68
DRAM Bandwidth Average, GB/s;0.99
DRAM Bandwidth Bound, %;0.00
NUMA, % of Remote Accesses;5.40
Vectorization, %;92.20
SP FLOPs, % of uOps;4.60
Packed, % from SP FP;100.00
SP 128-bit, %;1.10
SP 256-bit, %;0.00
SP 512-bit, %;98.90
SP Scalar, % from SP FP;0.00
DP FLOPs, % of uOps;3.80
DP Packed, % from DP FP;82.80
DP 128-bit, %;0.00
DP 256-bit, %;0.40
DP 512-bit, %;82.30
DP Scalar, % from DP FP;17.20
Non-FP, % of uOps;91.60
FP Arith/Mem Rd Instr. Ratio;0.46
FP Arith/Mem Wr Instr. Ratio;0.98
Disk I/O Bound, s;0.00
Memory Footprint
Resident
Per node
Peak resident set size,MB;          829.00
Peak resident set node;instance-20220519-1049
Average resident set size,MB;          829.00
Per rank
Peak resident set size,MB;          416.00
Peak resident set rank;0
Average resident set size,MB;          414.50
Virtual
Per node
Peak memory consumption,MB;         6692.00
Peak memory consumption node;instance-20220519-1049
Average memory consumption,MB;         6692.00
Per rank
Peak memory consumption,MB;         3346.00
Peak memory consumption rank;1
Average memory consumption,MB;         3346.00
