Time(%),Total Time (ns),Instances,Average (ns),Minimum (ns),Maximum (ns),StdDev (ns),Category,Operation,Benchmark,Size,GPUs
0.3,7047668802,22800,309108.3,1457,3447642,699024.8,CUDA_API,cuEventSynchronize,in.lj,2048,8
0.2,5527801448,864,6397918.3,4140,78660801,12368483.4,CUDA_API,cuMemAlloc_v2,in.lj,2048,8
0.1,1837953492,6096,301501.6,1568,1166589,185414.3,MEMORY_OPER,[CUDA memcpy HtoD],in.lj,2048,8
0.1,1690625003,5568,303632.4,1888,1640666,183655.1,MEMORY_OPER,[CUDA memcpy DtoH],in.lj,2048,8
0.0,626305559,288,2174672.1,5842,11349860,3197171.3,CUDA_API,cuMemAllocHost_v2,in.lj,2048,8
0.0,403272958,4848,83183.4,44128,264608,21725.1,CUDA_KERNEL,k_lj_fast,in.lj,2048,8
0.0,221285324,36672,6034.2,1580,84849,6844.2,CUDA_API,cuEventRecord,in.lj,2048,8
0.0,206292604,48,4297762.6,3113768,5555642,724764.6,CUDA_API,cuMemGetInfo_v2,in.lj,2048,8
0.0,182503480,5760,31684.6,5069,114321,16345.8,CUDA_API,cuLaunchKernel,in.lj,2048,8
0.0,153671076,5952,25818.4,3804,107884,12758.6,CUDA_API,cuMemcpyHtoDAsync_v2,in.lj,2048,8
0.0,67364104,288,233903.1,201184,312448,16281.9,CUDA_KERNEL,calc_neigh_list_cell,in.lj,2048,8
0.0,49542799,5472,9053.9,3462,48494,3794.4,CUDA_API,cuMemcpyDtoHAsync_v2,in.lj,2048,8
0.0,43715863,192,227686.8,90697,719653,87799.5,CUDA_API,cuModuleLoadDataEx,in.lj,2048,8
0.0,25309770,1056,23967.6,1788,508564,62482.8,CUDA_API,cuStreamSynchronize,in.lj,2048,8
0.0,6431514,144,44663.3,16637,77820,17605.9,CUDA_API,cuMemcpyHtoD_v2,in.lj,2048,8
0.0,4616814,96,48091.8,31573,126893,15068.1,CUDA_API,cuMemcpyDtoH_v2,in.lj,2048,8
0.0,2454039,1536,1597.7,412,52313,2333.3,CUDA_API,cuEventCreate,in.lj,2048,8
0.0,2114848,528,4005.4,3393,4960,468.9,CUDA_KERNEL,kernel_zero,in.lj,2048,8
0.0,1276273,1536,830.9,266,13814,721.5,CUDA_API,cuEventDestroy_v2,in.lj,2048,8
0.0,953026,48,19854.7,11123,41978,5484.9,CUDA_API,cuMemsetD8Async,in.lj,2048,8
0.0,380820,96,3966.9,3679,4384,205.7,CUDA_KERNEL,kernel_info,in.lj,2048,8
0.0,274003,48,5708.4,5218,7084,314.5,CUDA_API,cuInit,in.lj,2048,8
0.0,101439,48,2113.3,1823,2687,247.7,MEMORY_OPER,[CUDA memset],in.lj,2048,8
71.0,24000721314,12,2000060109.5,1965243600,2012837002,13111236.7,CUDA_API,cuCtxCreate_v2,in.lj-double,32,1
27.0,9133316510,12,761109709.2,703791663,775702537,22120721.3,CUDA_API,cuCtxDestroy_v2,in.lj-double,32,1
0.9,320761750,2850,112548.0,1594,1278578,233508.1,CUDA_API,cuEventSynchronize,in.lj-double,32,1
0.3,93566528,30,3118884.3,7767,16572214,5501322.3,CUDA_API,cuMemHostAlloc,in.lj-double,32,1
0.2,76121869,66,1153361.7,7403,12455868,2344669.3,CUDA_API,cuMemFreeHost,in.lj-double,32,1
0.1,29110052,108,269537.5,5248,2682944,625764.1,CUDA_API,cuMemFree_v2,in.lj-double,32,1
0.1,24460467,762,32100.4,1599,48416,14082.0,MEMORY_OPER,[CUDA memcpy HtoD],in.lj-double,32,1
0.1,22713382,108,210309.1,4723,2305873,497847.7,CUDA_API,cuMemAlloc_v2,in.lj-double,32,1
0.1,18158262,606,29964.1,22464,40255,2706.5,CUDA_KERNEL,k_lj_fast,in.lj-double,32,1
0.0,12471292,4584,2720.6,1786,20125,1133.5,CUDA_API,cuEventRecord,in.lj-double,32,1
0.0,10337227,696,14852.3,1888,33632,5684.5,MEMORY_OPER,[CUDA memcpy DtoH],in.lj-double,32,1
0.0,9677183,36,268810.6,7268,1587530,589154.7,CUDA_API,cuMemAllocHost_v2,in.lj-double,32,1
0.0,7885319,720,10951.8,5476,41204,3536.3,CUDA_API,cuLaunchKernel,in.lj-double,32,1
0.0,6088541,744,8183.5,4027,21369,2072.2,CUDA_API,cuMemcpyHtoDAsync_v2,in.lj-double,32,1
0.0,3716982,684,5434.2,3600,22709,1440.0,CUDA_API,cuMemcpyDtoHAsync_v2,in.lj-double,32,1
0.0,3652195,24,152174.8,74996,203102,44185.6,CUDA_API,cuModuleLoadDataEx,in.lj-double,32,1
0.0,3531197,132,26751.5,2023,601639,81112.2,CUDA_API,cuStreamSynchronize,in.lj-double,32,1
0.0,2479290,36,68869.2,65216,71552,1864.0,CUDA_KERNEL,calc_neigh_list_cell,in.lj-double,32,1
