Benchmark,Size,GPUs,Section,min time,avg time,max time,%varavg,%total
in.lj,864,2,Output,0.00025383,0.0028241,0.0059361,3.1,0.41
in.lj,864,2,Modify,0.020613,0.021399,0.02222,0.3,3.10
in.lj,864,2,Other,,0.01338,,,1.94
in.lj,864,2,Pair,0.22901,0.25152,0.28931,3.1,47.54
in.lj,864,2,Neigh,3.277e-06,4.8566e-06,9.205e-06,0.0,0.00
in.lj,864,2,Comm,0.20358,0.24018,0.26573,3.3,45.40
in.lj,864,2,Output,0.00024756,0.0026209,0.0049755,2.7,0.50
in.lj,864,2,Modify,0.020855,0.021587,0.023371,0.4,4.08
in.lj,864,2,Other,,0.01311,,,2.48
in.lj,864,4,Pair,0.32936,0.35997,0.40457,3.1,55.46
in.lj,864,4,Neigh,3.72e-06,5.9257e-06,1.3038e-05,0.0,0.00
in.lj,864,4,Comm,0.20671,0.25202,0.28267,3.6,38.83
in.lj,864,4,Output,0.0003088,0.0019891,0.0043495,2.6,0.31
in.lj,864,4,Modify,0.020685,0.021592,0.022401,0.3,3.33
in.lj,864,4,Other,,0.01351,,,2.08
in.lj,864,4,Pair,0.19017,0.20933,0.24842,2.2,50.32
in.lj,864,4,Neigh,3.857e-06,5.8614e-06,1.089e-05,0.0,0.00
in.lj,864,4,Comm,0.13152,0.1703,0.1885,2.4,40.94
in.lj,864,4,Output,0.00025989,0.0016277,0.0030792,1.8,0.39
in.lj,864,4,Modify,0.020888,0.021451,0.022505,0.3,5.16
in.lj,864,4,Other,,0.01331,,,3.20
in.lj,864,4,Pair,0.22168,0.24746,0.2977,3.8,51.00
in.lj,864,4,Neigh,3.424e-06,4.831e-06,9.689e-06,0.0,0.00
in.lj,864,4,Comm,0.15215,0.20123,0.22643,4.0,41.48
in.lj,864,4,Output,0.00026697,0.0015772,0.0031452,2.0,0.33
in.lj,864,4,Modify,0.021029,0.021804,0.023028,0.3,4.49
in.lj,864,4,Other,,0.01309,,,2.70
in.lj,864,6,Pair,0.081896,0.12806,0.17371,8.6,36.73
in.lj,864,6,Neigh,3.945e-06,6.0513e-06,1.5217e-05,0.0,0.00
in.lj,864,6,Comm,0.14556,0.19155,0.23731,7.0,54.94
in.lj,864,6,Output,0.00023436,0.0015345,0.0025498,1.6,0.44
in.lj,864,6,Modify,0.015196,0.015694,0.016618,0.3,4.50
in.lj,864,6,Other,,0.01181,,,3.39
