Benchmark,Size,GPUs,Section,min time,avg time,max time,%varavg,%total
in.rhodo,864,1,Output,0.00042857,0.00046068,0.00051285,0.0,0.01
in.rhodo,864,1,Modify,1.1736,1.3118,1.4162,5.3,16.08
in.rhodo,864,1,Other,,0.08972,,,1.10
in.rhodo,864,1,Pair,1.7489,1.8049,1.8615,2.0,29.77
in.rhodo,864,1,Bond,0.79631,0.82439,0.92848,2.7,13.60
in.rhodo,864,1,Kspace,1.4655,1.5719,1.6026,2.0,25.93
in.rhodo,864,1,Neigh,0.18604,0.19026,0.19248,0.3,3.14
in.rhodo,864,1,Comm,0.27807,0.3066,0.33312,3.6,5.06
in.rhodo,864,1,Output,0.00051484,0.00052616,0.00057454,0.0,0.01
in.rhodo,864,1,Modify,1.1598,1.2713,1.3719,4.6,20.97
in.rhodo,864,1,Other,,0.09205,,,1.52
in.rhodo,864,1,Pair,1.6508,1.7744,1.8293,3.1,29.90
in.rhodo,864,1,Bond,0.79116,0.81939,0.85686,2.0,13.81
in.rhodo,864,1,Kspace,1.5024,1.5392,1.5702,1.4,25.94
in.rhodo,864,1,Neigh,0.17326,0.17514,0.17696,0.3,2.95
in.rhodo,864,1,Comm,0.26156,0.28712,0.31484,3.9,4.84
in.rhodo,864,1,Output,0.00039293,0.00041951,0.00047931,0.0,0.01
in.rhodo,864,1,Modify,1.1435,1.2463,1.3693,5.6,21.00
in.rhodo,864,1,Other,,0.09193,,,1.55
in.rhodo,864,2,Pair,0.56103,0.60131,0.64781,2.3,15.28
in.rhodo,864,2,Bond,0.78572,0.82113,0.86237,2.0,20.86
in.rhodo,864,2,Kspace,0.80261,0.8426,0.88181,2.0,21.41
in.rhodo,864,2,Neigh,0.16978,0.17228,0.17515,0.3,4.38
in.rhodo,864,2,Comm,0.25794,0.28377,0.30873,3.8,7.21
in.rhodo,864,2,Output,0.0011158,0.0011235,0.0011792,0.0,0.03
in.rhodo,864,2,Modify,1.0583,1.1273,1.202,4.5,28.64
in.rhodo,864,2,Other,,0.08679,,,2.20
in.rhodo,864,2,Pair,0.55337,0.59473,0.65775,2.6,14.57
in.rhodo,864,2,Bond,0.79151,0.82039,0.85212,2.0,20.10
in.rhodo,864,2,Kspace,0.87702,0.91596,0.95314,2.2,22.44
in.rhodo,864,2,Neigh,0.19007,0.19313,0.19606,0.3,4.73
in.rhodo,864,2,Comm,0.27365,0.30093,0.33329,3.8,7.37
in.rhodo,864,2,Output,0.00039935,0.00041505,0.00045685,0.0,0.01
in.rhodo,864,2,Modify,1.0743,1.1715,1.2388,4.2,28.70
in.rhodo,864,2,Other,,0.08501,,,2.08
in.rhodo,864,2,Pair,1.0803,1.1323,1.1835,2.2,21.87
in.rhodo,864,2,Bond,0.78988,0.82351,0.86748,2.2,15.90
in.rhodo,864,2,Kspace,1.4716,1.5184,1.5599,1.8,29.32
in.rhodo,864,2,Neigh,0.17649,0.17999,0.18371,0.3,3.48
in.rhodo,864,2,Comm,0.26511,0.29037,0.31689,3.7,5.61
in.rhodo,864,2,Output,0.00038663,0.0004023,0.00047209,0.0,0.01
in.rhodo,864,2,Modify,1.0624,1.1522,1.2507,4.9,22.25
in.rhodo,864,2,Other,,0.08055,,,1.56
in.rhodo,864,4,Pair,0.31819,0.34921,0.3795,2.6,10.36
in.rhodo,864,4,Bond,0.79521,0.82546,0.87136,2.4,24.50
in.rhodo,864,4,Kspace,0.53805,0.57933,0.61944,3.0,17.19
in.rhodo,864,4,Neigh,0.17587,0.17844,0.18097,0.3,5.30
in.rhodo,864,4,Comm,0.26319,0.28774,0.31517,3.7,8.54
in.rhodo,864,4,Output,0.00038155,0.00039684,0.00045762,0.0,0.01
in.rhodo,864,4,Modify,1.0022,1.0679,1.131,4.3,31.69
in.rhodo,864,4,Other,,0.08098,,,2.40
in.rhodo,864,4,Pair,0.42514,0.46684,0.51972,4.2,11.71
in.rhodo,864,4,Bond,0.79841,0.83448,0.8889,2.4,20.93
in.rhodo,864,4,Kspace,0.92472,0.98223,1.0309,2.6,24.64
in.rhodo,864,4,Neigh,0.18115,0.18447,0.18708,0.3,4.63
in.rhodo,864,4,Comm,0.26703,0.29496,0.32139,3.7,7.40
in.rhodo,864,4,Output,0.00036331,0.0003915,0.00044426,0.0,0.01
in.rhodo,864,4,Modify,1.0651,1.138,1.2116,4.4,28.55
in.rhodo,864,4,Other,,0.0853,,,2.14
in.rhodo,864,4,Pair,0.33417,0.38364,0.45305,4.8,10.44
in.rhodo,864,4,Bond,0.80397,0.83007,0.89473,2.3,22.59
in.rhodo,864,4,Kspace,0.62646,0.70076,0.74017,2.9,19.07
in.rhodo,864,4,Neigh,0.18367,0.18721,0.18975,0.3,5.09
in.rhodo,864,4,Comm,0.27565,0.30504,0.33595,3.9,8.30
in.rhodo,864,4,Output,0.00039754,0.00041397,0.00045119,0.0,0.01
in.rhodo,864,4,Modify,1.0498,1.1559,1.2393,4.9,31.45
in.rhodo,864,4,Other,,0.112,,,3.05
in.rhodo,864,6,Pair,0.21984,0.26532,0.31477,6.2,8.68
in.rhodo,864,6,Bond,0.50734,0.64674,0.80211,13.8,21.15
in.rhodo,864,6,Kspace,0.51402,0.69221,0.86202,13.8,22.64
in.rhodo,864,6,Neigh,0.14985,0.15755,0.16079,0.5,5.15
in.rhodo,864,6,Comm,0.2802,0.29475,0.34696,3.0,9.64
in.rhodo,864,6,Output,0.00040668,0.00042156,0.0004742,0.0,0.01
in.rhodo,864,6,Modify,0.81085,0.91676,0.94617,3.5,29.99
in.rhodo,864,6,Other,,0.08341,,,2.73
in.rhodo,864,6,Pair,0.20873,0.24889,0.28734,5.6,8.63
in.rhodo,864,6,Bond,0.49665,0.63924,0.78177,13.7,22.17
in.rhodo,864,6,Kspace,0.44514,0.61157,0.77153,14.3,21.21
in.rhodo,864,6,Neigh,0.14143,0.14513,0.1476,0.4,5.03
in.rhodo,864,6,Comm,0.27132,0.28269,0.32553,2.7,9.80
in.rhodo,864,6,Output,0.00032308,0.00033516,0.00038225,0.0,0.01
in.rhodo,864,6,Modify,0.78898,0.88266,0.90987,3.4,30.61
in.rhodo,864,6,Other,,0.07315,,,2.54
in.rhodo,864,6,Pair,0.27447,0.35366,0.42778,9.7,11.49
in.rhodo,864,6,Bond,0.49989,0.64484,0.79007,13.5,20.95
in.rhodo,864,6,Kspace,0.50968,0.66595,0.83462,13.8,21.64
in.rhodo,864,6,Neigh,0.14295,0.14779,0.15056,0.5,4.80
in.rhodo,864,6,Comm,0.27358,0.28807,0.33685,2.9,9.36
in.rhodo,864,6,Output,0.00032493,0.00034275,0.00038914,0.0,0.01
in.rhodo,864,6,Modify,0.77598,0.90752,0.96717,4.8,29.48
in.rhodo,864,6,Other,,0.06985,,,2.27
in.rhodo,864,8,Pair,0.22337,0.22991,0.2369,0.8,7.96
in.rhodo,864,8,Bond,0.50424,0.64349,0.79147,13.5,22.28
in.rhodo,864,8,Kspace,0.42977,0.57418,0.71408,14.1,19.88
in.rhodo,864,8,Neigh,0.14539,0.14968,0.1526,0.4,5.18
in.rhodo,864,8,Comm,0.27392,0.28867,0.329,2.7,9.99
in.rhodo,864,8,Output,0.00036835,0.00037658,0.00042954,0.0,0.01
in.rhodo,864,8,Modify,0.83261,0.92009,0.94661,3.1,31.85
in.rhodo,864,8,Other,,0.08221,,,2.85
in.rhodo,864,8,Pair,0.30682,0.32135,0.33649,1.8,11.21
in.rhodo,864,8,Bond,0.51672,0.64568,0.79834,13.5,22.52
in.rhodo,864,8,Kspace,0.3709,0.524,0.65773,14.8,18.27
in.rhodo,864,8,Neigh,0.14054,0.14646,0.14988,0.6,5.11
in.rhodo,864,8,Comm,0.2686,0.2847,0.33195,2.9,9.93
in.rhodo,864,8,Output,0.00037803,0.00038843,0.00042762,0.0,0.01
in.rhodo,864,8,Modify,0.79107,0.87637,0.90105,3.3,30.56
in.rhodo,864,8,Other,,0.06872,,,2.40
in.rhodo,864,8,Pair,0.23837,0.24682,0.25801,1.2,8.12
in.rhodo,864,8,Bond,0.51287,0.64738,0.79981,13.6,21.30
in.rhodo,864,8,Kspace,0.48913,0.64889,0.79252,14.0,21.35
in.rhodo,864,8,Neigh,0.15681,0.16022,0.16336,0.4,5.27
in.rhodo,864,8,Comm,0.28744,0.30498,0.35129,3.1,10.04
in.rhodo,864,8,Output,0.00037372,0.00038058,0.00043434,0.0,0.01
in.rhodo,864,8,Modify,0.84379,0.93515,0.97818,3.2,30.77
in.rhodo,864,8,Other,,0.09529,,,3.14
in.rhodo,2048,1,Pair,0.78194,0.82503,0.86728,3.1,5.01
in.rhodo,2048,1,Bond,4.5337,4.5669,4.6221,1.2,27.73
in.rhodo,2048,1,Kspace,4.0153,4.0659,4.0948,1.2,24.69
in.rhodo,2048,1,Neigh,0.91587,0.92657,0.93273,0.5,5.63
in.rhodo,2048,1,Comm,0.73882,0.78626,0.83113,3.9,4.77
in.rhodo,2048,1,Output,0.0011037,0.0011499,0.0012099,0.1,0.01
in.rhodo,2048,1,Modify,4.8704,4.9984,5.1466,3.8,30.35
in.rhodo,2048,1,Other,,0.2977,,,1.81
in.rhodo,2048,1,Pair,0.83501,0.91618,1.0191,5.6,5.24
in.rhodo,2048,1,Bond,4.5618,4.6108,4.6711,1.6,26.36
in.rhodo,2048,1,Kspace,4.3594,4.4218,4.4717,1.8,25.28
in.rhodo,2048,1,Neigh,0.96633,0.97379,0.98035,0.4,5.57
in.rhodo,2048,1,Comm,0.82531,0.87603,0.92244,4.2,5.01
in.rhodo,2048,1,Output,0.0010945,0.0011377,0.0011942,0.1,0.01
in.rhodo,2048,1,Modify,5.1457,5.3166,5.489,5.0,30.40
in.rhodo,2048,1,Other,,0.3725,,,2.13
in.rhodo,2048,1,Pair,4.0639,4.2797,4.4623,5.6,21.20
in.rhodo,2048,1,Bond,4.5371,4.5684,4.5997,0.8,22.63
in.rhodo,2048,1,Kspace,4.0008,4.0323,4.0619,0.8,19.97
