Time(%),Total Time (ns),Instances,Average (ns),Minimum (ns),Maximum (ns),StdDev (ns),Category,Operation,Benchmark,Size,GPUs
0.0,56919892,4992,11402.2,1567,89344,14759.3,MEMORY_OPER,[CUDA memset],in.rhodo,256,8
0.0,43605900,240,181691.3,86103,413271,46385.4,CUDA_API,cuModuleLoadDataEx,in.rhodo,256,8
0.0,40204235,4848,8293.0,4096,68896,6785.2,CUDA_KERNEL,particle_map,in.rhodo,256,8
0.0,29157788,1056,27611.5,1840,601688,77816.2,CUDA_API,cuStreamSynchronize,in.rhodo,256,8
0.0,5079463,576,8818.5,7392,18368,1352.8,CUDA_KERNEL,transpose,in.rhodo,256,8
0.0,4467809,96,46539.7,31982,123359,17324.3,CUDA_API,cuMemcpyDtoH_v2,in.rhodo,256,8
0.0,2134806,2016,1058.9,397,12409,1124.9,CUDA_API,cuEventCreate,in.rhodo,256,8
0.0,2119817,528,4014.8,3296,5216,463.7,CUDA_KERNEL,kernel_zero,in.rhodo,256,8
0.0,1419833,144,9860.0,4579,26166,4675.9,CUDA_API,cuMemsetD8Async,in.rhodo,256,8
0.0,1349692,2016,669.5,264,13510,955.4,CUDA_API,cuEventDestroy_v2,in.rhodo,256,8
0.0,382075,96,3979.9,3616,4800,223.1,CUDA_KERNEL,kernel_info,in.rhodo,256,8
0.0,279335,48,5819.5,5208,8347,586.0,CUDA_API,cuInit,in.rhodo,256,8
58.7,869468610855,72,12075952928.5,11150613785,12443682109,312664723.1,CUDA_API,cuCtxCreate_v2,in.rhodo,864,1
32.9,487073009627,72,6764902911.5,6606810828,6862370926,57135408.0,CUDA_API,cuCtxDestroy_v2,in.rhodo,864,1
5.9,87956806665,51408,1710955.6,1471,80775735,7172621.4,CUDA_API,cuEventSynchronize,in.rhodo,864,1
0.6,9398946248,1260,7459481.1,6347,27683309,10789400.4,CUDA_API,cuMemFree_v2,in.rhodo,864,1
0.4,5509469466,648,8502267.7,7554,86231399,15511182.5,CUDA_API,cuMemFreeHost,in.rhodo,864,1
