Time(%),Total Time (ns),Instances,Average (ns),Minimum (ns),Maximum (ns),StdDev (ns),Category,Operation,Benchmark,Size,GPUs
0.0,50612808,5568,9089.9,1856,41631,4790.5,MEMORY_OPER,[CUDA memcpy DtoH],in.chain-single,256,8
0.0,45600278,48,950005.8,120674,1754562,479430.3,CUDA_API,cuMemGetInfo_v2,in.chain-single,256,8
0.0,45267681,4848,9337.4,6304,43456,3251.2,CUDA_KERNEL,k_lj_fast,in.chain-single,256,8
0.0,44691354,1248,35810.4,31104,45600,1802.1,CUDA_KERNEL,calc_neigh_list_cell,in.chain-single,256,8
0.0,37537578,5472,6859.9,3498,28548,2467.3,CUDA_API,cuMemcpyDtoHAsync_v2,in.chain-single,256,8
0.0,36667539,192,190976.8,90687,420269,43208.5,CUDA_API,cuModuleLoadDataEx,in.chain-single,256,8
0.0,26584542,1056,25174.8,1921,613121,68019.0,CUDA_API,cuStreamSynchronize,in.chain-single,256,8
0.0,10055695,1248,8057.4,6464,17760,721.3,CUDA_KERNEL,kernel_special,in.chain-single,256,8
0.0,6222759,1248,4986.2,3968,10081,503.0,CUDA_KERNEL,transpose,in.chain-single,256,8
0.0,4460289,96,46461.3,32595,127201,16427.0,CUDA_API,cuMemcpyDtoH_v2,in.chain-single,256,8
0.0,2124500,528,4023.7,3392,7680,502.4,CUDA_KERNEL,kernel_zero,in.chain-single,256,8
0.0,1982868,1536,1290.9,404,32360,1612.6,CUDA_API,cuEventCreate,in.chain-single,256,8
0.0,1054861,1536,686.8,291,4644,449.9,CUDA_API,cuEventDestroy_v2,in.chain-single,256,8
0.0,802689,48,16722.7,12981,50351,5572.0,CUDA_API,cuMemsetD8Async,in.chain-single,256,8
0.0,377439,96,3931.7,3616,4480,201.7,CUDA_KERNEL,kernel_info,in.chain-single,256,8
0.0,286208,48,5962.7,4578,8006,707.2,CUDA_API,cuInit,in.chain-single,256,8
0.0,98776,48,2057.8,1823,2400,168.6,MEMORY_OPER,[CUDA memset],in.chain-single,256,8
