power.draw [W], uuid
23.74 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
40.19 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
41.15 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
42.58 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
41.61 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
42.12 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
42.58 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
80.26 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
108.72 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
52.25 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
51.77 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
51.77 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
27.11 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
26.63 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
26.63 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
24.21 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
24.21 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
24.21 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
24.21 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
24.21 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
24.21 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
24.21 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
24.21 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
24.21 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
24.21 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
24.21 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
24.21 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
24.21 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
24.21 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
24.21 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
24.21 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
24.21 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
24.21 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
24.22 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
24.21 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
