;EXEC_TIME;PERFORMANCE;POWER;NAME;PROCS;SIZE;PAREFF
72;1.4131144046783448;158.7691194058642;193.80986891844995;chain;1;32;100.0
73;1.3532539844512939;309.3594722222222;192.26576016511868;chain;2;32;97.4243207305954
75;1.03098783493042;618.4268584104938;195.84152900432898;chain;4;32;97.37832846915254
77;1.0310214042663575;1191.7478344907408;210.20749999999998;chain;8;32;93.82711188976992
71;1.2571347236633301;2194.677428433642;225.4470333333333;chain;16;32;86.39421808875782
74;1.948324728012085;2980.9706128472226;266.6;chain;32;32;58.6734574078862
76;2.896204423904419;3921.491565393518;310.31033333333335;chain;64;32;38.59270992908875
55;6.600795745849609;17.67097260802469;192.59984615384616;chain;1;256;100.0
57;3.819468450546265;37.02350501543209;199.10975;chain;2;256;104.7579718351753
63;2.308149480819702;72.90158545524692;211.67600000000002;chain;4;256;103.13748296760568
69;1.6998823642730714;146.061465470679;225.948;chain;8;256;103.32019402001534
53;1.5878077030181885;286.9165005787037;247.56116666666668;chain;16;256;101.47874530701057
60;2.0282547950744627;550.4306988811728;280.6395;chain;32;256;97.34019582049152
66;3.025722026824951;881.8527768132716;320.2672380952381;chain;64;256;77.97504949699324
56;23.479453086853027;4.582699845679012;190.6204578819873;chain;1;864;100.0
58;12.085986614227295;9.42851639660494;200.00616666666664;chain;2;864;102.87076084085025
64;6.325288105010986;19.10413175154321;215.32723076923077;chain;4;864;104.21875965516448
70;3.6655338287353514;38.461970679012346;236.04775;chain;8;864;104.9107839652585
54;2.6855396270751952;73.33278260030865;266.5673333333333;chain;16;864;100.0130723560445
61;2.522741413116455;142.1189157021605;300.94253333333336;chain;32;864;96.9126555360177
67;3.288767623901367;260.3999502314814;333.2951428571429;chain;64;864;88.7849817657878
62;15.318762493133544;7.215261766975309;217.44096774193548;chain;4;2048;100.0
68;8.08095874786377;14.76128047839506;244.56857352941174;chain;8;2048;102.29206475888606
52;5.0663018226623535;27.42072646604938;281.5459804195804;chain;16;2048;95.00946518515694
59;3.774301767349243;50.75531925154321;337.48125;chain;32;2048;87.93048833628842
65;4.0135139465332035;86.23058429783951;365.6287222222222;chain;64;2048;74.69460835478809
156;2.4606794357299804;373.1099768518518;;chute;1;32;100.0
157;2.1161216735839843;567.0485648148149;;chute;2;32;75.98946691258928
159;1.3977040290832519;1099.1799074074074;;chute;4;32;73.64986033620934
161;1.3492115974426269;1990.4209953703705;;chute;8;32;66.68345524303325
155;2.1554348468780518;3810.485185185185;;chute;16;32;63.82979251413499
158;3.7990893363952636;6515.126597222222;;chute;32;32;54.56774645402622
160;6.378354024887085;9567.307847222222;;chute;64;32;40.0657163805094
138;2.115871047973633;90.78988425925927;;chute;1;256;100.0
141;1.9737411975860595;157.93719907407407;;chute;2;256;86.97951339108945
147;1.4246378421783448;279.8306944444445;;chute;4;256;77.05448044337211
153;1.5881011009216308;535.62;;chute;8;256;73.74444911595072
135;2.2485628604888914;1054.0994212962964;;chute;16;256;72.5644870775343
144;3.8091384887695314;1913.5916666666667;;chute;32;256;65.86608196632284
150;6.386953210830688;3154.532638888889;;chute;64;256;54.289718380836085
139;3.4844507694244387;41.938240740740746;;chute;1;864;100.0
142;2.304508638381958;90.05921296296296;;chute;2;864;107.37123371447872
148;1.5743562698364257;158.29150462962963;;chute;4;864;94.35988600963056
154;1.4247426509857177;289.4762037037037;;chute;8;864;86.2805039597468
136;2.1788957595825194;509.2493055555555;;chute;16;864;75.89274379433601
145;3.8899446964263915;809.1244444444444;;chute;32;864;60.29136759741506
151;6.477311038970948;1516.976851851852;;chute;64;864;56.518258495185826
146;2.175423622131348;85.49493055555556;;chute;4;2048;100.0
152;1.7367471218109132;161.15335648148147;;chute;8;2048;94.24731702469904
134;1.9781894207000732;286.26317129629626;;chute;16;2048;83.70764483815776
143;3.774844264984131;497.3258333333333;;chute;32;2048;72.71276643270758
149;6.404605436325073;912.7530555555556;;chute;64;2048;66.72567086904925
219;1.8919879913330078;84.43564814814815;198.989694858156;eam;1;32;100.0
222;1.5742950916290284;162.85324074074072;197.59669071590093;eam;2;32;96.43630641349701
230;1.0900701045989991;320.6962962962963;195.7890843134664;eam;4;32;94.95287338045081
238;1.0885029792785645;624.4208333333333;195.3616563953488;eam;8;32;92.4403446630954
216;1.2694676399230957;1138.675;195.63857075537075;eam;16;32;84.28571232749024
226;1.870234727859497;1723.4787037037033;201.80491720813447;eam;32;32;63.7866951601318
234;2.8182466983795167;2497.8444444444444;267.30420655270655;eam;64;32;46.2231537276361
218;10.786964321136475;10.05324074074074;198.90809090909093;eam;1;256;100.0
221;6.0305657386779785;19.9625;206.41057692307692;eam;2;256;99.28390513469951
229;3.3528196811676025;39.86805555555556;218.79826587301585;eam;4;256;99.14229795072531
237;2.1985862255096436;78.87824074074075;223.9484;eam;8;256;98.07563895924477
215;1.810200309753418;152.16435185185185;223.20543722943722;eam;16;256;94.59906746488602
225;2.1147053718566893;285.48055555555555;237.9526;eam;32;256;88.74021413769285
233;3.0112112522125245;472.9319444444444;238.94453428571427;eam;64;256;73.50427411927238
220;35.472266387939456;2.9324074074074074;199.54658333333333;eam;1;864;100.0
223;18.99154977798462;5.647222222222222;210.19787346109175;eam;2;864;96.28986422481844
231;9.712077951431274;11.499074074074075;217.09547254150704;eam;4;864;98.03441742974425
239;5.400629138946533;22.81435185185185;219.6797270614035;eam;8;864;97.25094726870856
217;3.4725186347961428;43.92268518518519;223.4022413600892;eam;16;864;93.61481686138302
227;2.9871095180511475;83.31203703703704;229.48065337995337;eam;32;864;88.78374644774235
