power.draw [W], uuid
24.22 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
41.61 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
41.15 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
41.61 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
42.58 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
41.61 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
42.09 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
77.79 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
101.40 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
52.25 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
51.77 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
51.77 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
27.60 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
27.60 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
27.60 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
24.21 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
24.21 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
24.21 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
24.21 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
24.21 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
24.21 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
24.21 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
24.21 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
24.21 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
24.21 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
24.21 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
24.21 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
24.21 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
24.21 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
24.21 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
24.21 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
24.21 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
24.21 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
24.21 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
24.21 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
24.21 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
24.21 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
24.21 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
24.21 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
24.21 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
24.21 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
24.21 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
24.21 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
24.21 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
24.21 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
24.21 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
24.21 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
24.21 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
24.21 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
24.21 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
24.21 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
24.21 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
24.21 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
24.21 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
24.21 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
41.13 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
41.61 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
42.09 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
42.58 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
41.61 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
42.09 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
92.77 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
76.40 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
52.25 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
51.77 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
51.77 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
27.11 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
27.11 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
27.11 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
24.21 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
24.21 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
24.21 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
24.21 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
24.21 W, GPU-c772e66b-818e-f943-a3dd-e3d39da4bafb
