power.draw [W], uuid
76.88 W, GPU-89f3733e-8c53-b2b1-c761-65daae8bf7fa
80.32 W, GPU-50cd1b12-af4f-d604-4bc4-b6e20694340f
73.98 W, GPU-1a657f4c-d132-36f9-b163-4461cc8bb285
72.62 W, GPU-c8d6ae23-bbc4-4f7f-6023-1f040f944271
44.60 W, GPU-22d4be14-1942-6d1b-f04d-8c401c5e8996
46.06 W, GPU-a2aa775f-ffd9-b84b-0189-783034cc9f2e
76.88 W, GPU-89f3733e-8c53-b2b1-c761-65daae8bf7fa
80.32 W, GPU-50cd1b12-af4f-d604-4bc4-b6e20694340f
73.98 W, GPU-1a657f4c-d132-36f9-b163-4461cc8bb285
72.62 W, GPU-c8d6ae23-bbc4-4f7f-6023-1f040f944271
44.60 W, GPU-22d4be14-1942-6d1b-f04d-8c401c5e8996
46.06 W, GPU-a2aa775f-ffd9-b84b-0189-783034cc9f2e
49.87 W, GPU-89f3733e-8c53-b2b1-c761-65daae8bf7fa
51.35 W, GPU-50cd1b12-af4f-d604-4bc4-b6e20694340f
50.84 W, GPU-1a657f4c-d132-36f9-b163-4461cc8bb285
60.08 W, GPU-c8d6ae23-bbc4-4f7f-6023-1f040f944271
44.60 W, GPU-22d4be14-1942-6d1b-f04d-8c401c5e8996
60.12 W, GPU-a2aa775f-ffd9-b84b-0189-783034cc9f2e
74.46 W, GPU-89f3733e-8c53-b2b1-c761-65daae8bf7fa
75.00 W, GPU-50cd1b12-af4f-d604-4bc4-b6e20694340f
69.14 W, GPU-1a657f4c-d132-36f9-b163-4461cc8bb285
74.08 W, GPU-c8d6ae23-bbc4-4f7f-6023-1f040f944271
69.23 W, GPU-22d4be14-1942-6d1b-f04d-8c401c5e8996
68.31 W, GPU-a2aa775f-ffd9-b84b-0189-783034cc9f2e
77.85 W, GPU-89f3733e-8c53-b2b1-c761-65daae8bf7fa
81.29 W, GPU-50cd1b12-af4f-d604-4bc4-b6e20694340f
74.94 W, GPU-1a657f4c-d132-36f9-b163-4461cc8bb285
74.08 W, GPU-c8d6ae23-bbc4-4f7f-6023-1f040f944271
75.00 W, GPU-22d4be14-1942-6d1b-f04d-8c401c5e8996
73.59 W, GPU-a2aa775f-ffd9-b84b-0189-783034cc9f2e
77.85 W, GPU-89f3733e-8c53-b2b1-c761-65daae8bf7fa
81.29 W, GPU-50cd1b12-af4f-d604-4bc4-b6e20694340f
74.94 W, GPU-1a657f4c-d132-36f9-b163-4461cc8bb285
74.08 W, GPU-c8d6ae23-bbc4-4f7f-6023-1f040f944271
75.00 W, GPU-22d4be14-1942-6d1b-f04d-8c401c5e8996
73.59 W, GPU-a2aa775f-ffd9-b84b-0189-783034cc9f2e
77.85 W, GPU-89f3733e-8c53-b2b1-c761-65daae8bf7fa
81.29 W, GPU-50cd1b12-af4f-d604-4bc4-b6e20694340f
74.90 W, GPU-1a657f4c-d132-36f9-b163-4461cc8bb285
74.08 W, GPU-c8d6ae23-bbc4-4f7f-6023-1f040f944271
