power.draw [W], uuid
44.48 W, GPU-64b38594-acc2-aaa9-8fd0-d4f12b4e2375
44.54 W, GPU-fceded84-9213-a231-e3e3-93fe3be64288
42.07 W, GPU-241ce9c5-21c8-01b5-3abb-ed454f602e1e
43.54 W, GPU-6cda1891-7346-b980-b203-9564fff6891e
42.61 W, GPU-45397966-85d1-e465-7316-eefbeefe13da
45.51 W, GPU-6055ed45-98c4-5fc7-1309-ec8851445db7
45.03 W, GPU-6155bed0-c900-ea99-db48-3e6bdce4c478
42.12 W, GPU-97afa27d-2ebf-1aa5-1dbb-8ee4cd3624d2
44.48 W, GPU-64b38594-acc2-aaa9-8fd0-d4f12b4e2375
44.54 W, GPU-fceded84-9213-a231-e3e3-93fe3be64288
42.07 W, GPU-241ce9c5-21c8-01b5-3abb-ed454f602e1e
43.54 W, GPU-6cda1891-7346-b980-b203-9564fff6891e
42.61 W, GPU-45397966-85d1-e465-7316-eefbeefe13da
45.51 W, GPU-6055ed45-98c4-5fc7-1309-ec8851445db7
45.03 W, GPU-6155bed0-c900-ea99-db48-3e6bdce4c478
42.12 W, GPU-97afa27d-2ebf-1aa5-1dbb-8ee4cd3624d2
44.48 W, GPU-64b38594-acc2-aaa9-8fd0-d4f12b4e2375
44.54 W, GPU-fceded84-9213-a231-e3e3-93fe3be64288
42.07 W, GPU-241ce9c5-21c8-01b5-3abb-ed454f602e1e
43.54 W, GPU-6cda1891-7346-b980-b203-9564fff6891e
42.61 W, GPU-45397966-85d1-e465-7316-eefbeefe13da
45.51 W, GPU-6055ed45-98c4-5fc7-1309-ec8851445db7
45.03 W, GPU-6155bed0-c900-ea99-db48-3e6bdce4c478
42.12 W, GPU-97afa27d-2ebf-1aa5-1dbb-8ee4cd3624d2
44.48 W, GPU-64b38594-acc2-aaa9-8fd0-d4f12b4e2375
44.54 W, GPU-fceded84-9213-a231-e3e3-93fe3be64288
42.07 W, GPU-241ce9c5-21c8-01b5-3abb-ed454f602e1e
43.54 W, GPU-6cda1891-7346-b980-b203-9564fff6891e
42.61 W, GPU-45397966-85d1-e465-7316-eefbeefe13da
45.03 W, GPU-6055ed45-98c4-5fc7-1309-ec8851445db7
45.03 W, GPU-6155bed0-c900-ea99-db48-3e6bdce4c478
42.12 W, GPU-97afa27d-2ebf-1aa5-1dbb-8ee4cd3624d2
44.48 W, GPU-64b38594-acc2-aaa9-8fd0-d4f12b4e2375
44.54 W, GPU-fceded84-9213-a231-e3e3-93fe3be64288
42.09 W, GPU-241ce9c5-21c8-01b5-3abb-ed454f602e1e
43.54 W, GPU-6cda1891-7346-b980-b203-9564fff6891e
42.61 W, GPU-45397966-85d1-e465-7316-eefbeefe13da
45.03 W, GPU-6055ed45-98c4-5fc7-1309-ec8851445db7
45.03 W, GPU-6155bed0-c900-ea99-db48-3e6bdce4c478
42.12 W, GPU-97afa27d-2ebf-1aa5-1dbb-8ee4cd3624d2
44.48 W, GPU-64b38594-acc2-aaa9-8fd0-d4f12b4e2375
44.54 W, GPU-fceded84-9213-a231-e3e3-93fe3be64288
42.07 W, GPU-241ce9c5-21c8-01b5-3abb-ed454f602e1e
59.96 W, GPU-6cda1891-7346-b980-b203-9564fff6891e
42.61 W, GPU-45397966-85d1-e465-7316-eefbeefe13da
45.51 W, GPU-6055ed45-98c4-5fc7-1309-ec8851445db7
45.03 W, GPU-6155bed0-c900-ea99-db48-3e6bdce4c478
42.12 W, GPU-97afa27d-2ebf-1aa5-1dbb-8ee4cd3624d2
61.37 W, GPU-64b38594-acc2-aaa9-8fd0-d4f12b4e2375
61.45 W, GPU-fceded84-9213-a231-e3e3-93fe3be64288
59.92 W, GPU-241ce9c5-21c8-01b5-3abb-ed454f602e1e
59.92 W, GPU-6cda1891-7346-b980-b203-9564fff6891e
59.47 W, GPU-45397966-85d1-e465-7316-eefbeefe13da
61.93 W, GPU-6055ed45-98c4-5fc7-1309-ec8851445db7
60.96 W, GPU-6155bed0-c900-ea99-db48-3e6bdce4c478
59.51 W, GPU-97afa27d-2ebf-1aa5-1dbb-8ee4cd3624d2
61.37 W, GPU-64b38594-acc2-aaa9-8fd0-d4f12b4e2375
61.45 W, GPU-fceded84-9213-a231-e3e3-93fe3be64288
58.95 W, GPU-241ce9c5-21c8-01b5-3abb-ed454f602e1e
59.92 W, GPU-6cda1891-7346-b980-b203-9564fff6891e
59.47 W, GPU-45397966-85d1-e465-7316-eefbeefe13da
61.93 W, GPU-6055ed45-98c4-5fc7-1309-ec8851445db7
60.48 W, GPU-6155bed0-c900-ea99-db48-3e6bdce4c478
59.51 W, GPU-97afa27d-2ebf-1aa5-1dbb-8ee4cd3624d2
61.37 W, GPU-64b38594-acc2-aaa9-8fd0-d4f12b4e2375
61.93 W, GPU-fceded84-9213-a231-e3e3-93fe3be64288
58.95 W, GPU-241ce9c5-21c8-01b5-3abb-ed454f602e1e
60.40 W, GPU-6cda1891-7346-b980-b203-9564fff6891e
59.47 W, GPU-45397966-85d1-e465-7316-eefbeefe13da
61.93 W, GPU-6055ed45-98c4-5fc7-1309-ec8851445db7
60.48 W, GPU-6155bed0-c900-ea99-db48-3e6bdce4c478
59.51 W, GPU-97afa27d-2ebf-1aa5-1dbb-8ee4cd3624d2
61.37 W, GPU-64b38594-acc2-aaa9-8fd0-d4f12b4e2375
61.45 W, GPU-fceded84-9213-a231-e3e3-93fe3be64288
58.95 W, GPU-241ce9c5-21c8-01b5-3abb-ed454f602e1e
59.92 W, GPU-6cda1891-7346-b980-b203-9564fff6891e
59.47 W, GPU-45397966-85d1-e465-7316-eefbeefe13da
61.93 W, GPU-6055ed45-98c4-5fc7-1309-ec8851445db7
60.00 W, GPU-6155bed0-c900-ea99-db48-3e6bdce4c478
59.51 W, GPU-97afa27d-2ebf-1aa5-1dbb-8ee4cd3624d2
61.37 W, GPU-64b38594-acc2-aaa9-8fd0-d4f12b4e2375
61.45 W, GPU-fceded84-9213-a231-e3e3-93fe3be64288
58.95 W, GPU-241ce9c5-21c8-01b5-3abb-ed454f602e1e
59.92 W, GPU-6cda1891-7346-b980-b203-9564fff6891e
59.47 W, GPU-45397966-85d1-e465-7316-eefbeefe13da
61.93 W, GPU-6055ed45-98c4-5fc7-1309-ec8851445db7
60.48 W, GPU-6155bed0-c900-ea99-db48-3e6bdce4c478
59.51 W, GPU-97afa27d-2ebf-1aa5-1dbb-8ee4cd3624d2
61.37 W, GPU-64b38594-acc2-aaa9-8fd0-d4f12b4e2375
61.45 W, GPU-fceded84-9213-a231-e3e3-93fe3be64288
58.95 W, GPU-241ce9c5-21c8-01b5-3abb-ed454f602e1e
59.92 W, GPU-6cda1891-7346-b980-b203-9564fff6891e
59.47 W, GPU-45397966-85d1-e465-7316-eefbeefe13da
61.93 W, GPU-6055ed45-98c4-5fc7-1309-ec8851445db7
60.48 W, GPU-6155bed0-c900-ea99-db48-3e6bdce4c478
59.51 W, GPU-97afa27d-2ebf-1aa5-1dbb-8ee4cd3624d2
61.37 W, GPU-64b38594-acc2-aaa9-8fd0-d4f12b4e2375
61.45 W, GPU-fceded84-9213-a231-e3e3-93fe3be64288
58.95 W, GPU-241ce9c5-21c8-01b5-3abb-ed454f602e1e
59.92 W, GPU-6cda1891-7346-b980-b203-9564fff6891e
59.47 W, GPU-45397966-85d1-e465-7316-eefbeefe13da
61.93 W, GPU-6055ed45-98c4-5fc7-1309-ec8851445db7
60.48 W, GPU-6155bed0-c900-ea99-db48-3e6bdce4c478
59.51 W, GPU-97afa27d-2ebf-1aa5-1dbb-8ee4cd3624d2
61.37 W, GPU-64b38594-acc2-aaa9-8fd0-d4f12b4e2375
61.41 W, GPU-fceded84-9213-a231-e3e3-93fe3be64288
58.95 W, GPU-241ce9c5-21c8-01b5-3abb-ed454f602e1e
59.92 W, GPU-6cda1891-7346-b980-b203-9564fff6891e
59.47 W, GPU-45397966-85d1-e465-7316-eefbeefe13da
61.93 W, GPU-6055ed45-98c4-5fc7-1309-ec8851445db7
60.48 W, GPU-6155bed0-c900-ea99-db48-3e6bdce4c478
59.51 W, GPU-97afa27d-2ebf-1aa5-1dbb-8ee4cd3624d2
61.37 W, GPU-64b38594-acc2-aaa9-8fd0-d4f12b4e2375
61.45 W, GPU-fceded84-9213-a231-e3e3-93fe3be64288
58.95 W, GPU-241ce9c5-21c8-01b5-3abb-ed454f602e1e
59.92 W, GPU-6cda1891-7346-b980-b203-9564fff6891e
59.47 W, GPU-45397966-85d1-e465-7316-eefbeefe13da
61.93 W, GPU-6055ed45-98c4-5fc7-1309-ec8851445db7
60.48 W, GPU-6155bed0-c900-ea99-db48-3e6bdce4c478
58.54 W, GPU-97afa27d-2ebf-1aa5-1dbb-8ee4cd3624d2
61.37 W, GPU-64b38594-acc2-aaa9-8fd0-d4f12b4e2375
61.45 W, GPU-fceded84-9213-a231-e3e3-93fe3be64288
58.95 W, GPU-241ce9c5-21c8-01b5-3abb-ed454f602e1e
59.92 W, GPU-6cda1891-7346-b980-b203-9564fff6891e
59.51 W, GPU-45397966-85d1-e465-7316-eefbeefe13da
60.96 W, GPU-6055ed45-98c4-5fc7-1309-ec8851445db7
60.48 W, GPU-6155bed0-c900-ea99-db48-3e6bdce4c478
58.54 W, GPU-97afa27d-2ebf-1aa5-1dbb-8ee4cd3624d2
61.37 W, GPU-64b38594-acc2-aaa9-8fd0-d4f12b4e2375
61.45 W, GPU-fceded84-9213-a231-e3e3-93fe3be64288
58.95 W, GPU-241ce9c5-21c8-01b5-3abb-ed454f602e1e
59.92 W, GPU-6cda1891-7346-b980-b203-9564fff6891e
59.47 W, GPU-45397966-85d1-e465-7316-eefbeefe13da
61.45 W, GPU-6055ed45-98c4-5fc7-1309-ec8851445db7
60.48 W, GPU-6155bed0-c900-ea99-db48-3e6bdce4c478
58.54 W, GPU-97afa27d-2ebf-1aa5-1dbb-8ee4cd3624d2
61.37 W, GPU-64b38594-acc2-aaa9-8fd0-d4f12b4e2375
61.45 W, GPU-fceded84-9213-a231-e3e3-93fe3be64288
58.95 W, GPU-241ce9c5-21c8-01b5-3abb-ed454f602e1e
59.92 W, GPU-6cda1891-7346-b980-b203-9564fff6891e
59.47 W, GPU-45397966-85d1-e465-7316-eefbeefe13da
61.45 W, GPU-6055ed45-98c4-5fc7-1309-ec8851445db7
60.48 W, GPU-6155bed0-c900-ea99-db48-3e6bdce4c478
58.54 W, GPU-97afa27d-2ebf-1aa5-1dbb-8ee4cd3624d2
61.37 W, GPU-64b38594-acc2-aaa9-8fd0-d4f12b4e2375
61.45 W, GPU-fceded84-9213-a231-e3e3-93fe3be64288
58.95 W, GPU-241ce9c5-21c8-01b5-3abb-ed454f602e1e
59.92 W, GPU-6cda1891-7346-b980-b203-9564fff6891e
59.47 W, GPU-45397966-85d1-e465-7316-eefbeefe13da
61.45 W, GPU-6055ed45-98c4-5fc7-1309-ec8851445db7
60.48 W, GPU-6155bed0-c900-ea99-db48-3e6bdce4c478
58.54 W, GPU-97afa27d-2ebf-1aa5-1dbb-8ee4cd3624d2
61.37 W, GPU-64b38594-acc2-aaa9-8fd0-d4f12b4e2375
61.45 W, GPU-fceded84-9213-a231-e3e3-93fe3be64288
58.95 W, GPU-241ce9c5-21c8-01b5-3abb-ed454f602e1e
59.92 W, GPU-6cda1891-7346-b980-b203-9564fff6891e
59.47 W, GPU-45397966-85d1-e465-7316-eefbeefe13da
61.45 W, GPU-6055ed45-98c4-5fc7-1309-ec8851445db7
60.48 W, GPU-6155bed0-c900-ea99-db48-3e6bdce4c478
58.54 W, GPU-97afa27d-2ebf-1aa5-1dbb-8ee4cd3624d2
61.37 W, GPU-64b38594-acc2-aaa9-8fd0-d4f12b4e2375
61.45 W, GPU-fceded84-9213-a231-e3e3-93fe3be64288
58.95 W, GPU-241ce9c5-21c8-01b5-3abb-ed454f602e1e
59.92 W, GPU-6cda1891-7346-b980-b203-9564fff6891e
59.47 W, GPU-45397966-85d1-e465-7316-eefbeefe13da
61.45 W, GPU-6055ed45-98c4-5fc7-1309-ec8851445db7
60.48 W, GPU-6155bed0-c900-ea99-db48-3e6bdce4c478
58.54 W, GPU-97afa27d-2ebf-1aa5-1dbb-8ee4cd3624d2
61.37 W, GPU-64b38594-acc2-aaa9-8fd0-d4f12b4e2375
61.41 W, GPU-fceded84-9213-a231-e3e3-93fe3be64288
58.95 W, GPU-241ce9c5-21c8-01b5-3abb-ed454f602e1e
59.92 W, GPU-6cda1891-7346-b980-b203-9564fff6891e
59.47 W, GPU-45397966-85d1-e465-7316-eefbeefe13da
61.45 W, GPU-6055ed45-98c4-5fc7-1309-ec8851445db7
60.48 W, GPU-6155bed0-c900-ea99-db48-3e6bdce4c478
58.54 W, GPU-97afa27d-2ebf-1aa5-1dbb-8ee4cd3624d2
61.37 W, GPU-64b38594-acc2-aaa9-8fd0-d4f12b4e2375
61.93 W, GPU-fceded84-9213-a231-e3e3-93fe3be64288
58.95 W, GPU-241ce9c5-21c8-01b5-3abb-ed454f602e1e
59.92 W, GPU-6cda1891-7346-b980-b203-9564fff6891e
59.47 W, GPU-45397966-85d1-e465-7316-eefbeefe13da
61.45 W, GPU-6055ed45-98c4-5fc7-1309-ec8851445db7
60.48 W, GPU-6155bed0-c900-ea99-db48-3e6bdce4c478
58.54 W, GPU-97afa27d-2ebf-1aa5-1dbb-8ee4cd3624d2
61.37 W, GPU-64b38594-acc2-aaa9-8fd0-d4f12b4e2375
61.45 W, GPU-fceded84-9213-a231-e3e3-93fe3be64288
58.95 W, GPU-241ce9c5-21c8-01b5-3abb-ed454f602e1e
59.92 W, GPU-6cda1891-7346-b980-b203-9564fff6891e
59.47 W, GPU-45397966-85d1-e465-7316-eefbeefe13da
61.45 W, GPU-6055ed45-98c4-5fc7-1309-ec8851445db7
60.48 W, GPU-6155bed0-c900-ea99-db48-3e6bdce4c478
58.54 W, GPU-97afa27d-2ebf-1aa5-1dbb-8ee4cd3624d2
61.37 W, GPU-64b38594-acc2-aaa9-8fd0-d4f12b4e2375
61.93 W, GPU-fceded84-9213-a231-e3e3-93fe3be64288
58.95 W, GPU-241ce9c5-21c8-01b5-3abb-ed454f602e1e
59.92 W, GPU-6cda1891-7346-b980-b203-9564fff6891e
59.47 W, GPU-45397966-85d1-e465-7316-eefbeefe13da
61.45 W, GPU-6055ed45-98c4-5fc7-1309-ec8851445db7
60.48 W, GPU-6155bed0-c900-ea99-db48-3e6bdce4c478
58.54 W, GPU-97afa27d-2ebf-1aa5-1dbb-8ee4cd3624d2
61.37 W, GPU-64b38594-acc2-aaa9-8fd0-d4f12b4e2375
61.45 W, GPU-fceded84-9213-a231-e3e3-93fe3be64288
58.95 W, GPU-241ce9c5-21c8-01b5-3abb-ed454f602e1e
59.92 W, GPU-6cda1891-7346-b980-b203-9564fff6891e
59.47 W, GPU-45397966-85d1-e465-7316-eefbeefe13da
61.45 W, GPU-6055ed45-98c4-5fc7-1309-ec8851445db7
60.48 W, GPU-6155bed0-c900-ea99-db48-3e6bdce4c478
58.54 W, GPU-97afa27d-2ebf-1aa5-1dbb-8ee4cd3624d2
61.37 W, GPU-64b38594-acc2-aaa9-8fd0-d4f12b4e2375
61.45 W, GPU-fceded84-9213-a231-e3e3-93fe3be64288
58.95 W, GPU-241ce9c5-21c8-01b5-3abb-ed454f602e1e
59.92 W, GPU-6cda1891-7346-b980-b203-9564fff6891e
59.47 W, GPU-45397966-85d1-e465-7316-eefbeefe13da
61.45 W, GPU-6055ed45-98c4-5fc7-1309-ec8851445db7
60.48 W, GPU-6155bed0-c900-ea99-db48-3e6bdce4c478
58.54 W, GPU-97afa27d-2ebf-1aa5-1dbb-8ee4cd3624d2
61.37 W, GPU-64b38594-acc2-aaa9-8fd0-d4f12b4e2375
61.45 W, GPU-fceded84-9213-a231-e3e3-93fe3be64288
58.95 W, GPU-241ce9c5-21c8-01b5-3abb-ed454f602e1e
59.92 W, GPU-6cda1891-7346-b980-b203-9564fff6891e
59.47 W, GPU-45397966-85d1-e465-7316-eefbeefe13da
61.45 W, GPU-6055ed45-98c4-5fc7-1309-ec8851445db7
60.48 W, GPU-6155bed0-c900-ea99-db48-3e6bdce4c478
58.54 W, GPU-97afa27d-2ebf-1aa5-1dbb-8ee4cd3624d2
61.37 W, GPU-64b38594-acc2-aaa9-8fd0-d4f12b4e2375
61.93 W, GPU-fceded84-9213-a231-e3e3-93fe3be64288
58.95 W, GPU-241ce9c5-21c8-01b5-3abb-ed454f602e1e
59.92 W, GPU-6cda1891-7346-b980-b203-9564fff6891e
