TIMESTAMP,BENCH,TAG,CMD,EXEC_TIME,RES_FILE,ARCH_FILE,PERFORMANCE,POWER
03-02-2022_16:30:39.426949,hpcg_gpu,bm_6g_32x_60s_17ont,mpirun -np 6 env OMP_NUM_THREADS=17 ./xhpcg-3.1_gcc_485_cuda-10.0.130_ompi-3.1.0_sm_35_sm_50_sm_60_sm_70_sm_75_ver_10_9_18,59.90201807022095, hpcg_gpu03-02-2022_16:30:39.426949_out.txt,hpcg_gpu03-02-2022_16:30:39.426949_arch.txt,57.7,
03-02-2022_16:31:39.732293,hpcg_gpu,bm_8g_32x_60s_13ont,mpirun -np 8 env OMP_NUM_THREADS=13 ./xhpcg-3.1_gcc_485_cuda-10.0.130_ompi-3.1.0_sm_35_sm_50_sm_60_sm_70_sm_75_ver_10_9_18,57.53952240943909, hpcg_gpu03-02-2022_16:31:39.732293_out.txt,hpcg_gpu03-02-2022_16:31:39.732293_arch.txt,72.9,
03-02-2022_16:36:35.641743,hpcg_gpu,bm_1g_64x_60s_104ont,mpirun -np 1 env OMP_NUM_THREADS=104 ./xhpcg-3.1_gcc_485_cuda-10.0.130_ompi-3.1.0_sm_35_sm_50_sm_60_sm_70_sm_75_ver_10_9_18,66.48782896995544, hpcg_gpu03-02-2022_16:36:35.641743_out.txt,hpcg_gpu03-02-2022_16:36:35.641743_arch.txt,68.3,
03-02-2022_16:37:42.528879,hpcg_gpu,bm_2g_64x_60s_52ont,mpirun -np 2 env OMP_NUM_THREADS=52 ./xhpcg-3.1_gcc_485_cuda-10.0.130_ompi-3.1.0_sm_35_sm_50_sm_60_sm_70_sm_75_ver_10_9_18,64.98175239562988, hpcg_gpu03-02-2022_16:37:42.528879_out.txt,hpcg_gpu03-02-2022_16:37:42.528879_arch.txt,123.8,
03-02-2022_16:38:47.913490,hpcg_gpu,bm_4g_64x_60s_26ont,mpirun -np 4 env OMP_NUM_THREADS=26 ./xhpcg-3.1_gcc_485_cuda-10.0.130_ompi-3.1.0_sm_35_sm_50_sm_60_sm_70_sm_75_ver_10_9_18,66.675044298172, hpcg_gpu03-02-2022_16:38:47.913490_out.txt,hpcg_gpu03-02-2022_16:38:47.913490_arch.txt,209.0,
03-02-2022_16:39:54.994953,hpcg_gpu,bm_6g_64x_60s_17ont,mpirun -np 6 env OMP_NUM_THREADS=17 ./xhpcg-3.1_gcc_485_cuda-10.0.130_ompi-3.1.0_sm_35_sm_50_sm_60_sm_70_sm_75_ver_10_9_18,67.57700157165527, hpcg_gpu03-02-2022_16:39:54.994953_out.txt,hpcg_gpu03-02-2022_16:39:54.994953_arch.txt,291.9,
03-02-2022_16:41:02.983207,hpcg_gpu,bm_8g_64x_60s_13ont,mpirun -np 8 env OMP_NUM_THREADS=13 ./xhpcg-3.1_gcc_485_cuda-10.0.130_ompi-3.1.0_sm_35_sm_50_sm_60_sm_70_sm_75_ver_10_9_18,68.54359841346741, hpcg_gpu03-02-2022_16:41:02.983207_out.txt,hpcg_gpu03-02-2022_16:41:02.983207_arch.txt,342.7,
03-02-2022_16:44:58.321874,hpcg_gpu,bm_1g_128x_60s_104ont,mpirun -np 1 env OMP_NUM_THREADS=104 ./xhpcg-3.1_gcc_485_cuda-10.0.130_ompi-3.1.0_sm_35_sm_50_sm_60_sm_70_sm_75_ver_10_9_18,103.28685545921326, hpcg_gpu03-02-2022_16:44:58.321874_out.txt,hpcg_gpu03-02-2022_16:44:58.321874_arch.txt,128.7,
03-02-2022_16:46:42.011005,hpcg_gpu,bm_2g_128x_60s_52ont,mpirun -np 2 env OMP_NUM_THREADS=52 ./xhpcg-3.1_gcc_485_cuda-10.0.130_ompi-3.1.0_sm_35_sm_50_sm_60_sm_70_sm_75_ver_10_9_18,105.80415225028992, hpcg_gpu03-02-2022_16:46:42.011005_out.txt,hpcg_gpu03-02-2022_16:46:42.011005_arch.txt,263.9,
03-02-2022_16:48:28.230705,hpcg_gpu,bm_4g_128x_60s_26ont,mpirun -np 4 env OMP_NUM_THREADS=26 ./xhpcg-3.1_gcc_485_cuda-10.0.130_ompi-3.1.0_sm_35_sm_50_sm_60_sm_70_sm_75_ver_10_9_18,102.62368679046632, hpcg_gpu03-02-2022_16:48:28.230705_out.txt,hpcg_gpu03-02-2022_16:48:28.230705_arch.txt,472.3,
03-02-2022_16:50:11.259364,hpcg_gpu,bm_6g_128x_60s_17ont,mpirun -np 6 env OMP_NUM_THREADS=17 ./xhpcg-3.1_gcc_485_cuda-10.0.130_ompi-3.1.0_sm_35_sm_50_sm_60_sm_70_sm_75_ver_10_9_18,104.26423811912537, hpcg_gpu03-02-2022_16:50:11.259364_out.txt,hpcg_gpu03-02-2022_16:50:11.259364_arch.txt,680.9,
03-02-2022_16:51:55.931989,hpcg_gpu,bm_8g_128x_60s_13ont,mpirun -np 8 env OMP_NUM_THREADS=13 ./xhpcg-3.1_gcc_485_cuda-10.0.130_ompi-3.1.0_sm_35_sm_50_sm_60_sm_70_sm_75_ver_10_9_18,106.85987901687622, hpcg_gpu03-02-2022_16:51:55.931989_out.txt,hpcg_gpu03-02-2022_16:51:55.931989_arch.txt,834.6,
03-02-2022_16:58:19.586114,hpcg_gpu,bm_1g_256x_60s_104ont,mpirun -np 1 env OMP_NUM_THREADS=104 ./xhpcg-3.1_gcc_485_cuda-10.0.130_ompi-3.1.0_sm_35_sm_50_sm_60_sm_70_sm_75_ver_10_9_18,404.2433502674103, hpcg_gpu03-02-2022_16:58:19.586114_out.txt,hpcg_gpu03-02-2022_16:58:19.586114_arch.txt,137.8,
03-02-2022_17:05:04.240672,hpcg_gpu,bm_2g_256x_60s_52ont,mpirun -np 2 env OMP_NUM_THREADS=52 ./xhpcg-3.1_gcc_485_cuda-10.0.130_ompi-3.1.0_sm_35_sm_50_sm_60_sm_70_sm_75_ver_10_9_18,415.01048946380615, hpcg_gpu03-02-2022_17:05:04.240672_out.txt,hpcg_gpu03-02-2022_17:05:04.240672_arch.txt,291.0,
03-02-2022_17:11:59.661994,hpcg_gpu,bm_4g_256x_60s_26ont,mpirun -np 4 env OMP_NUM_THREADS=26 ./xhpcg-3.1_gcc_485_cuda-10.0.130_ompi-3.1.0_sm_35_sm_50_sm_60_sm_70_sm_75_ver_10_9_18,381.7716147899628, hpcg_gpu03-02-2022_17:11:59.661994_out.txt,hpcg_gpu03-02-2022_17:11:59.661994_arch.txt,570.4,
03-02-2022_17:18:21.842176,hpcg_gpu,bm_6g_256x_60s_17ont,mpirun -np 6 env OMP_NUM_THREADS=17 ./xhpcg-3.1_gcc_485_cuda-10.0.130_ompi-3.1.0_sm_35_sm_50_sm_60_sm_70_sm_75_ver_10_9_18,388.52148842811584, hpcg_gpu03-02-2022_17:18:21.842176_out.txt,hpcg_gpu03-02-2022_17:18:21.842176_arch.txt,841.7,
03-02-2022_17:29:56.974521,hpcg_gpu,bm_8g_256x_60s_13ont,mpirun -np 8 env OMP_NUM_THREADS=13 ./xhpcg-3.1_gcc_485_cuda-10.0.130_ompi-3.1.0_sm_35_sm_50_sm_60_sm_70_sm_75_ver_10_9_18,400.4594373703003, hpcg_gpu03-02-2022_17:29:56.974521_out.txt,hpcg_gpu03-02-2022_17:29:56.974521_arch.txt,1042.9,
04-02-2022_15:54:50.752347,hpcg_gpu,bm_1g_16x_60s_104ont_gw70,mpirun -np 1 env OMP_NUM_THREADS=104 ./xhpcg-3.1_gcc_485_cuda-10.0.130_ompi-3.1.0_sm_35_sm_50_sm_60_sm_70_sm_75_ver_10_9_18,56.36929440498352, hpcg_gpu04-02-2022_15:54:50.752347_out.txt,hpcg_gpu04-02-2022_15:54:50.752347_arch.txt,1.9,164.37855555555558
04-02-2022_15:55:47.609894,hpcg_gpu,bm_2g_16x_60s_52ont_gw70,mpirun -np 2 env OMP_NUM_THREADS=52 ./xhpcg-3.1_gcc_485_cuda-10.0.130_ompi-3.1.0_sm_35_sm_50_sm_60_sm_70_sm_75_ver_10_9_18,57.30364179611206, hpcg_gpu04-02-2022_15:55:47.609894_out.txt,hpcg_gpu04-02-2022_15:55:47.609894_arch.txt,3.4,247.87394617224885
04-02-2022_15:56:45.325068,hpcg_gpu,bm_4g_16x_60s_26ont_gw70,mpirun -np 4 env OMP_NUM_THREADS=26 ./xhpcg-3.1_gcc_485_cuda-10.0.130_ompi-3.1.0_sm_35_sm_50_sm_60_sm_70_sm_75_ver_10_9_18,58.693761587142944, hpcg_gpu04-02-2022_15:56:45.325068_out.txt,hpcg_gpu04-02-2022_15:56:45.325068_arch.txt,6.2,404.1057050492611
04-02-2022_15:57:44.430004,hpcg_gpu,bm_6g_16x_60s_17ont_gw70,mpirun -np 6 env OMP_NUM_THREADS=17 ./xhpcg-3.1_gcc_485_cuda-10.0.130_ompi-3.1.0_sm_35_sm_50_sm_60_sm_70_sm_75_ver_10_9_18,60.55652070045471, hpcg_gpu04-02-2022_15:57:44.430004_out.txt,hpcg_gpu04-02-2022_15:57:44.430004_arch.txt,8.1,565.1796662206364
04-02-2022_15:58:45.401525,hpcg_gpu,bm_8g_16x_60s_13ont_gw70,mpirun -np 8 env OMP_NUM_THREADS=13 ./xhpcg-3.1_gcc_485_cuda-10.0.130_ompi-3.1.0_sm_35_sm_50_sm_60_sm_70_sm_75_ver_10_9_18,57.769468545913696, hpcg_gpu04-02-2022_15:58:45.401525_out.txt,hpcg_gpu04-02-2022_15:58:45.401525_arch.txt,12.7,728.519580026455
