power.draw [W], uuid
49.80 W, GPU-82c3aeea-dc79-bdc3-5045-eeb676fdc407
49.87 W, GPU-ec98bbdd-6a32-79f1-18fc-6b3d8cc17fb3
49.38 W, GPU-d4c45d4e-9056-889b-8b14-f66c65b59c97
49.38 W, GPU-667ce00f-38d7-02f9-ed7c-b758ce7c2ece
49.80 W, GPU-82c3aeea-dc79-bdc3-5045-eeb676fdc407
49.38 W, GPU-ec98bbdd-6a32-79f1-18fc-6b3d8cc17fb3
49.35 W, GPU-d4c45d4e-9056-889b-8b14-f66c65b59c97
49.38 W, GPU-667ce00f-38d7-02f9-ed7c-b758ce7c2ece
68.61 W, GPU-82c3aeea-dc79-bdc3-5045-eeb676fdc407
70.16 W, GPU-ec98bbdd-6a32-79f1-18fc-6b3d8cc17fb3
69.63 W, GPU-d4c45d4e-9056-889b-8b14-f66c65b59c97
69.63 W, GPU-667ce00f-38d7-02f9-ed7c-b758ce7c2ece
68.61 W, GPU-82c3aeea-dc79-bdc3-5045-eeb676fdc407
70.64 W, GPU-ec98bbdd-6a32-79f1-18fc-6b3d8cc17fb3
70.11 W, GPU-d4c45d4e-9056-889b-8b14-f66c65b59c97
69.67 W, GPU-667ce00f-38d7-02f9-ed7c-b758ce7c2ece
68.61 W, GPU-82c3aeea-dc79-bdc3-5045-eeb676fdc407
70.64 W, GPU-ec98bbdd-6a32-79f1-18fc-6b3d8cc17fb3
70.11 W, GPU-d4c45d4e-9056-889b-8b14-f66c65b59c97
69.67 W, GPU-667ce00f-38d7-02f9-ed7c-b758ce7c2ece
68.61 W, GPU-82c3aeea-dc79-bdc3-5045-eeb676fdc407
70.64 W, GPU-ec98bbdd-6a32-79f1-18fc-6b3d8cc17fb3
70.11 W, GPU-d4c45d4e-9056-889b-8b14-f66c65b59c97
69.67 W, GPU-667ce00f-38d7-02f9-ed7c-b758ce7c2ece
69.10 W, GPU-82c3aeea-dc79-bdc3-5045-eeb676fdc407
70.64 W, GPU-ec98bbdd-6a32-79f1-18fc-6b3d8cc17fb3
70.11 W, GPU-d4c45d4e-9056-889b-8b14-f66c65b59c97
69.67 W, GPU-667ce00f-38d7-02f9-ed7c-b758ce7c2ece
69.10 W, GPU-82c3aeea-dc79-bdc3-5045-eeb676fdc407
70.64 W, GPU-ec98bbdd-6a32-79f1-18fc-6b3d8cc17fb3
70.11 W, GPU-d4c45d4e-9056-889b-8b14-f66c65b59c97
69.67 W, GPU-667ce00f-38d7-02f9-ed7c-b758ce7c2ece
69.10 W, GPU-82c3aeea-dc79-bdc3-5045-eeb676fdc407
70.64 W, GPU-ec98bbdd-6a32-79f1-18fc-6b3d8cc17fb3
70.11 W, GPU-d4c45d4e-9056-889b-8b14-f66c65b59c97
69.67 W, GPU-667ce00f-38d7-02f9-ed7c-b758ce7c2ece
69.10 W, GPU-82c3aeea-dc79-bdc3-5045-eeb676fdc407
70.64 W, GPU-ec98bbdd-6a32-79f1-18fc-6b3d8cc17fb3
70.59 W, GPU-d4c45d4e-9056-889b-8b14-f66c65b59c97
69.67 W, GPU-667ce00f-38d7-02f9-ed7c-b758ce7c2ece
68.61 W, GPU-82c3aeea-dc79-bdc3-5045-eeb676fdc407
