power.draw [W], uuid
82.57 W, GPU-f0deb42b-8a4b-e9ef-cdfe-95ead8ca4716
84.62 W, GPU-4aa2d871-65ce-73ab-4ddc-2337f0cf1afa
74.90 W, GPU-3e852619-503a-84f4-5918-194a229a78d2
77.31 W, GPU-3dce3025-f546-0ebb-c48a-9465ef5b86ee
39.67 W, GPU-4a533c59-88f5-c898-61b2-e29981cd17e4
41.64 W, GPU-0bfa8b63-30ba-2e0c-80ef-99b89d9267a2
82.09 W, GPU-f0deb42b-8a4b-e9ef-cdfe-95ead8ca4716
84.62 W, GPU-4aa2d871-65ce-73ab-4ddc-2337f0cf1afa
74.41 W, GPU-3e852619-503a-84f4-5918-194a229a78d2
77.31 W, GPU-3dce3025-f546-0ebb-c48a-9465ef5b86ee
39.67 W, GPU-4a533c59-88f5-c898-61b2-e29981cd17e4
41.64 W, GPU-0bfa8b63-30ba-2e0c-80ef-99b89d9267a2
53.67 W, GPU-f0deb42b-8a4b-e9ef-cdfe-95ead8ca4716
54.71 W, GPU-4aa2d871-65ce-73ab-4ddc-2337f0cf1afa
51.25 W, GPU-3e852619-503a-84f4-5918-194a229a78d2
52.74 W, GPU-3dce3025-f546-0ebb-c48a-9465ef5b86ee
39.67 W, GPU-4a533c59-88f5-c898-61b2-e29981cd17e4
41.18 W, GPU-0bfa8b63-30ba-2e0c-80ef-99b89d9267a2
68.61 W, GPU-f0deb42b-8a4b-e9ef-cdfe-95ead8ca4716
68.22 W, GPU-4aa2d871-65ce-73ab-4ddc-2337f0cf1afa
61.37 W, GPU-3e852619-503a-84f4-5918-194a229a78d2
64.31 W, GPU-3dce3025-f546-0ebb-c48a-9465ef5b86ee
56.09 W, GPU-4a533c59-88f5-c898-61b2-e29981cd17e4
58.10 W, GPU-0bfa8b63-30ba-2e0c-80ef-99b89d9267a2
68.13 W, GPU-f0deb42b-8a4b-e9ef-cdfe-95ead8ca4716
67.74 W, GPU-4aa2d871-65ce-73ab-4ddc-2337f0cf1afa
61.41 W, GPU-3e852619-503a-84f4-5918-194a229a78d2
63.82 W, GPU-3dce3025-f546-0ebb-c48a-9465ef5b86ee
56.09 W, GPU-4a533c59-88f5-c898-61b2-e29981cd17e4
58.10 W, GPU-0bfa8b63-30ba-2e0c-80ef-99b89d9267a2
68.13 W, GPU-f0deb42b-8a4b-e9ef-cdfe-95ead8ca4716
67.74 W, GPU-4aa2d871-65ce-73ab-4ddc-2337f0cf1afa
61.41 W, GPU-3e852619-503a-84f4-5918-194a229a78d2
63.82 W, GPU-3dce3025-f546-0ebb-c48a-9465ef5b86ee
