power.draw [W], uuid
84.99 W, GPU-82c3aeea-dc79-bdc3-5045-eeb676fdc407
91.39 W, GPU-ec98bbdd-6a32-79f1-18fc-6b3d8cc17fb3
44.54 W, GPU-d4c45d4e-9056-889b-8b14-f66c65b59c97
45.00 W, GPU-667ce00f-38d7-02f9-ed7c-b758ce7c2ece
84.50 W, GPU-82c3aeea-dc79-bdc3-5045-eeb676fdc407
90.90 W, GPU-ec98bbdd-6a32-79f1-18fc-6b3d8cc17fb3
44.51 W, GPU-d4c45d4e-9056-889b-8b14-f66c65b59c97
44.51 W, GPU-667ce00f-38d7-02f9-ed7c-b758ce7c2ece
84.02 W, GPU-82c3aeea-dc79-bdc3-5045-eeb676fdc407
76.40 W, GPU-ec98bbdd-6a32-79f1-18fc-6b3d8cc17fb3
63.82 W, GPU-d4c45d4e-9056-889b-8b14-f66c65b59c97
63.82 W, GPU-667ce00f-38d7-02f9-ed7c-b758ce7c2ece
70.06 W, GPU-82c3aeea-dc79-bdc3-5045-eeb676fdc407
73.54 W, GPU-ec98bbdd-6a32-79f1-18fc-6b3d8cc17fb3
62.86 W, GPU-d4c45d4e-9056-889b-8b14-f66c65b59c97
62.90 W, GPU-667ce00f-38d7-02f9-ed7c-b758ce7c2ece
70.06 W, GPU-82c3aeea-dc79-bdc3-5045-eeb676fdc407
73.06 W, GPU-ec98bbdd-6a32-79f1-18fc-6b3d8cc17fb3
62.86 W, GPU-d4c45d4e-9056-889b-8b14-f66c65b59c97
62.86 W, GPU-667ce00f-38d7-02f9-ed7c-b758ce7c2ece
69.58 W, GPU-82c3aeea-dc79-bdc3-5045-eeb676fdc407
73.06 W, GPU-ec98bbdd-6a32-79f1-18fc-6b3d8cc17fb3
62.86 W, GPU-d4c45d4e-9056-889b-8b14-f66c65b59c97
62.90 W, GPU-667ce00f-38d7-02f9-ed7c-b758ce7c2ece
69.10 W, GPU-82c3aeea-dc79-bdc3-5045-eeb676fdc407
72.58 W, GPU-ec98bbdd-6a32-79f1-18fc-6b3d8cc17fb3
62.86 W, GPU-d4c45d4e-9056-889b-8b14-f66c65b59c97
62.90 W, GPU-667ce00f-38d7-02f9-ed7c-b758ce7c2ece
69.10 W, GPU-82c3aeea-dc79-bdc3-5045-eeb676fdc407
72.58 W, GPU-ec98bbdd-6a32-79f1-18fc-6b3d8cc17fb3
62.90 W, GPU-d4c45d4e-9056-889b-8b14-f66c65b59c97
62.90 W, GPU-667ce00f-38d7-02f9-ed7c-b758ce7c2ece
69.10 W, GPU-82c3aeea-dc79-bdc3-5045-eeb676fdc407
72.09 W, GPU-ec98bbdd-6a32-79f1-18fc-6b3d8cc17fb3
62.90 W, GPU-d4c45d4e-9056-889b-8b14-f66c65b59c97
62.90 W, GPU-667ce00f-38d7-02f9-ed7c-b758ce7c2ece
69.10 W, GPU-82c3aeea-dc79-bdc3-5045-eeb676fdc407
72.09 W, GPU-ec98bbdd-6a32-79f1-18fc-6b3d8cc17fb3
62.86 W, GPU-d4c45d4e-9056-889b-8b14-f66c65b59c97
62.90 W, GPU-667ce00f-38d7-02f9-ed7c-b758ce7c2ece
68.61 W, GPU-82c3aeea-dc79-bdc3-5045-eeb676fdc407
80.32 W, GPU-ec98bbdd-6a32-79f1-18fc-6b3d8cc17fb3
62.90 W, GPU-d4c45d4e-9056-889b-8b14-f66c65b59c97
62.90 W, GPU-667ce00f-38d7-02f9-ed7c-b758ce7c2ece
68.61 W, GPU-82c3aeea-dc79-bdc3-5045-eeb676fdc407
80.26 W, GPU-ec98bbdd-6a32-79f1-18fc-6b3d8cc17fb3
62.86 W, GPU-d4c45d4e-9056-889b-8b14-f66c65b59c97
62.90 W, GPU-667ce00f-38d7-02f9-ed7c-b758ce7c2ece
68.61 W, GPU-82c3aeea-dc79-bdc3-5045-eeb676fdc407
80.32 W, GPU-ec98bbdd-6a32-79f1-18fc-6b3d8cc17fb3
62.86 W, GPU-d4c45d4e-9056-889b-8b14-f66c65b59c97
62.90 W, GPU-667ce00f-38d7-02f9-ed7c-b758ce7c2ece
68.61 W, GPU-82c3aeea-dc79-bdc3-5045-eeb676fdc407
80.26 W, GPU-ec98bbdd-6a32-79f1-18fc-6b3d8cc17fb3
62.90 W, GPU-d4c45d4e-9056-889b-8b14-f66c65b59c97
62.90 W, GPU-667ce00f-38d7-02f9-ed7c-b758ce7c2ece
68.61 W, GPU-82c3aeea-dc79-bdc3-5045-eeb676fdc407
80.32 W, GPU-ec98bbdd-6a32-79f1-18fc-6b3d8cc17fb3
62.86 W, GPU-d4c45d4e-9056-889b-8b14-f66c65b59c97
62.90 W, GPU-667ce00f-38d7-02f9-ed7c-b758ce7c2ece
68.61 W, GPU-82c3aeea-dc79-bdc3-5045-eeb676fdc407
80.26 W, GPU-ec98bbdd-6a32-79f1-18fc-6b3d8cc17fb3
62.86 W, GPU-d4c45d4e-9056-889b-8b14-f66c65b59c97
62.90 W, GPU-667ce00f-38d7-02f9-ed7c-b758ce7c2ece
68.61 W, GPU-82c3aeea-dc79-bdc3-5045-eeb676fdc407
79.78 W, GPU-ec98bbdd-6a32-79f1-18fc-6b3d8cc17fb3
62.86 W, GPU-d4c45d4e-9056-889b-8b14-f66c65b59c97
62.90 W, GPU-667ce00f-38d7-02f9-ed7c-b758ce7c2ece
68.61 W, GPU-82c3aeea-dc79-bdc3-5045-eeb676fdc407
79.78 W, GPU-ec98bbdd-6a32-79f1-18fc-6b3d8cc17fb3
62.86 W, GPU-d4c45d4e-9056-889b-8b14-f66c65b59c97
62.90 W, GPU-667ce00f-38d7-02f9-ed7c-b758ce7c2ece
68.61 W, GPU-82c3aeea-dc79-bdc3-5045-eeb676fdc407
79.78 W, GPU-ec98bbdd-6a32-79f1-18fc-6b3d8cc17fb3
62.86 W, GPU-d4c45d4e-9056-889b-8b14-f66c65b59c97
62.90 W, GPU-667ce00f-38d7-02f9-ed7c-b758ce7c2ece
68.61 W, GPU-82c3aeea-dc79-bdc3-5045-eeb676fdc407
79.83 W, GPU-ec98bbdd-6a32-79f1-18fc-6b3d8cc17fb3
62.86 W, GPU-d4c45d4e-9056-889b-8b14-f66c65b59c97
