power.draw [W], uuid
84.99 W, GPU-f0deb42b-8a4b-e9ef-cdfe-95ead8ca4716
44.54 W, GPU-4aa2d871-65ce-73ab-4ddc-2337f0cf1afa
85.04 W, GPU-f0deb42b-8a4b-e9ef-cdfe-95ead8ca4716
44.54 W, GPU-4aa2d871-65ce-73ab-4ddc-2337f0cf1afa
70.55 W, GPU-f0deb42b-8a4b-e9ef-cdfe-95ead8ca4716
64.35 W, GPU-4aa2d871-65ce-73ab-4ddc-2337f0cf1afa
70.06 W, GPU-f0deb42b-8a4b-e9ef-cdfe-95ead8ca4716
64.35 W, GPU-4aa2d871-65ce-73ab-4ddc-2337f0cf1afa
70.55 W, GPU-f0deb42b-8a4b-e9ef-cdfe-95ead8ca4716
64.35 W, GPU-4aa2d871-65ce-73ab-4ddc-2337f0cf1afa
70.55 W, GPU-f0deb42b-8a4b-e9ef-cdfe-95ead8ca4716
64.35 W, GPU-4aa2d871-65ce-73ab-4ddc-2337f0cf1afa
70.55 W, GPU-f0deb42b-8a4b-e9ef-cdfe-95ead8ca4716
64.35 W, GPU-4aa2d871-65ce-73ab-4ddc-2337f0cf1afa
83.54 W, GPU-f0deb42b-8a4b-e9ef-cdfe-95ead8ca4716
82.20 W, GPU-4aa2d871-65ce-73ab-4ddc-2337f0cf1afa
126.74 W, GPU-f0deb42b-8a4b-e9ef-cdfe-95ead8ca4716
120.16 W, GPU-4aa2d871-65ce-73ab-4ddc-2337f0cf1afa
128.76 W, GPU-f0deb42b-8a4b-e9ef-cdfe-95ead8ca4716
118.71 W, GPU-4aa2d871-65ce-73ab-4ddc-2337f0cf1afa
128.27 W, GPU-f0deb42b-8a4b-e9ef-cdfe-95ead8ca4716
122.65 W, GPU-4aa2d871-65ce-73ab-4ddc-2337f0cf1afa
127.71 W, GPU-f0deb42b-8a4b-e9ef-cdfe-95ead8ca4716
123.13 W, GPU-4aa2d871-65ce-73ab-4ddc-2337f0cf1afa
128.76 W, GPU-f0deb42b-8a4b-e9ef-cdfe-95ead8ca4716
122.65 W, GPU-4aa2d871-65ce-73ab-4ddc-2337f0cf1afa
127.23 W, GPU-f0deb42b-8a4b-e9ef-cdfe-95ead8ca4716
121.68 W, GPU-4aa2d871-65ce-73ab-4ddc-2337f0cf1afa
128.27 W, GPU-f0deb42b-8a4b-e9ef-cdfe-95ead8ca4716
123.13 W, GPU-4aa2d871-65ce-73ab-4ddc-2337f0cf1afa
127.71 W, GPU-f0deb42b-8a4b-e9ef-cdfe-95ead8ca4716
121.68 W, GPU-4aa2d871-65ce-73ab-4ddc-2337f0cf1afa
129.64 W, GPU-f0deb42b-8a4b-e9ef-cdfe-95ead8ca4716
121.20 W, GPU-4aa2d871-65ce-73ab-4ddc-2337f0cf1afa
129.64 W, GPU-f0deb42b-8a4b-e9ef-cdfe-95ead8ca4716
121.20 W, GPU-4aa2d871-65ce-73ab-4ddc-2337f0cf1afa
130.20 W, GPU-f0deb42b-8a4b-e9ef-cdfe-95ead8ca4716
120.72 W, GPU-4aa2d871-65ce-73ab-4ddc-2337f0cf1afa
128.67 W, GPU-f0deb42b-8a4b-e9ef-cdfe-95ead8ca4716
121.20 W, GPU-4aa2d871-65ce-73ab-4ddc-2337f0cf1afa
129.15 W, GPU-f0deb42b-8a4b-e9ef-cdfe-95ead8ca4716
121.68 W, GPU-4aa2d871-65ce-73ab-4ddc-2337f0cf1afa
129.24 W, GPU-f0deb42b-8a4b-e9ef-cdfe-95ead8ca4716
121.68 W, GPU-4aa2d871-65ce-73ab-4ddc-2337f0cf1afa
130.12 W, GPU-f0deb42b-8a4b-e9ef-cdfe-95ead8ca4716
122.65 W, GPU-4aa2d871-65ce-73ab-4ddc-2337f0cf1afa
129.64 W, GPU-f0deb42b-8a4b-e9ef-cdfe-95ead8ca4716
123.13 W, GPU-4aa2d871-65ce-73ab-4ddc-2337f0cf1afa
128.67 W, GPU-f0deb42b-8a4b-e9ef-cdfe-95ead8ca4716
121.61 W, GPU-4aa2d871-65ce-73ab-4ddc-2337f0cf1afa
128.67 W, GPU-f0deb42b-8a4b-e9ef-cdfe-95ead8ca4716
123.13 W, GPU-4aa2d871-65ce-73ab-4ddc-2337f0cf1afa
