power.draw [W], uuid
85.95 W, GPU-82c3aeea-dc79-bdc3-5045-eeb676fdc407
89.93 W, GPU-ec98bbdd-6a32-79f1-18fc-6b3d8cc17fb3
88.91 W, GPU-d4c45d4e-9056-889b-8b14-f66c65b59c97
88.91 W, GPU-667ce00f-38d7-02f9-ed7c-b758ce7c2ece
42.09 W, GPU-00bbd141-6465-f4f4-9c32-31f5b25d8dfd
47.45 W, GPU-90f871c5-d37f-ab08-9555-eddae7990935
85.47 W, GPU-82c3aeea-dc79-bdc3-5045-eeb676fdc407
89.45 W, GPU-ec98bbdd-6a32-79f1-18fc-6b3d8cc17fb3
87.94 W, GPU-d4c45d4e-9056-889b-8b14-f66c65b59c97
88.43 W, GPU-667ce00f-38d7-02f9-ed7c-b758ce7c2ece
42.09 W, GPU-00bbd141-6465-f4f4-9c32-31f5b25d8dfd
47.45 W, GPU-90f871c5-d37f-ab08-9555-eddae7990935
58.02 W, GPU-82c3aeea-dc79-bdc3-5045-eeb676fdc407
59.51 W, GPU-ec98bbdd-6a32-79f1-18fc-6b3d8cc17fb3
73.01 W, GPU-d4c45d4e-9056-889b-8b14-f66c65b59c97
59.03 W, GPU-667ce00f-38d7-02f9-ed7c-b758ce7c2ece
42.09 W, GPU-00bbd141-6465-f4f4-9c32-31f5b25d8dfd
47.45 W, GPU-90f871c5-d37f-ab08-9555-eddae7990935
70.55 W, GPU-82c3aeea-dc79-bdc3-5045-eeb676fdc407
73.06 W, GPU-ec98bbdd-6a32-79f1-18fc-6b3d8cc17fb3
73.01 W, GPU-d4c45d4e-9056-889b-8b14-f66c65b59c97
71.56 W, GPU-667ce00f-38d7-02f9-ed7c-b758ce7c2ece
60.44 W, GPU-00bbd141-6465-f4f4-9c32-31f5b25d8dfd
64.83 W, GPU-90f871c5-d37f-ab08-9555-eddae7990935
70.06 W, GPU-82c3aeea-dc79-bdc3-5045-eeb676fdc407
72.53 W, GPU-ec98bbdd-6a32-79f1-18fc-6b3d8cc17fb3
72.53 W, GPU-d4c45d4e-9056-889b-8b14-f66c65b59c97
71.08 W, GPU-667ce00f-38d7-02f9-ed7c-b758ce7c2ece
60.44 W, GPU-00bbd141-6465-f4f4-9c32-31f5b25d8dfd
64.35 W, GPU-90f871c5-d37f-ab08-9555-eddae7990935
69.58 W, GPU-82c3aeea-dc79-bdc3-5045-eeb676fdc407
72.53 W, GPU-ec98bbdd-6a32-79f1-18fc-6b3d8cc17fb3
71.08 W, GPU-d4c45d4e-9056-889b-8b14-f66c65b59c97
71.08 W, GPU-667ce00f-38d7-02f9-ed7c-b758ce7c2ece
60.44 W, GPU-00bbd141-6465-f4f4-9c32-31f5b25d8dfd
