Running for 7200.0 seconds (7200 samples at 1.0 second intervals).
Power measurements will start in 0 seconds time.

  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts
11:46:56   6.3   0.0  76.6  17.1   0.0  105  13861  24926  107  212    2 216.06 
11:46:57   9.8   0.0  53.9  36.4   0.0  105  66099  29380    0    0    0 171.42 
11:46:58  12.5   0.0  87.5   0.0   0.0  105    544  26214    0    0    0 207.83 
11:46:59  11.8   0.0  88.2   0.0   0.0  105    530  26107    0    0    0 216.95 
11:47:00  12.0   0.0  88.0   0.0   0.0  105    816  26134    0    0    0 219.19 
11:47:01  11.9   0.0  88.1   0.0   0.0  106   1355  26575    8    8    7 219.83 
11:47:02  11.5   0.0  88.5   0.0   0.0  105    703  26142    1    0    1 222.16 
11:47:03  11.7   0.0  88.3   0.0   0.0  105    573  26097    0    0    0 226.21 
11:47:04  11.7   0.0  88.3   0.0   0.0  105    749  26102    0    0    0 227.82 
11:47:05  11.3   0.0  88.7   0.0   0.0  105    544  26114    0    0    0 226.53 
11:47:06  11.6   0.0  88.4   0.0   0.0  105    752  26313    0    0    0 226.93 
11:47:07  11.7   0.0  88.3   0.0   0.0  105    545  26132    0    0    0 227.02 
11:47:08  11.8   0.0  88.2   0.0   0.0  105    741  26127    0    0    0 227.97 
11:47:09  11.8   0.0  88.2   0.0   0.0  105    543  26099    0    0    0 230.94 
11:47:10  11.8   0.0  88.2   0.0   0.0  105    594  26122    0    0    0 230.09 
11:47:11  11.6   0.0  88.4   0.0   0.0  105    520  26108    0    0    0 230.50 
11:47:12  11.6   0.0  88.4   0.0   0.0  105    747  26095    0    0    0 230.09 
11:47:13  11.7   0.0  88.3   0.0   0.0  105    530  26107    0    0    0 230.29 
11:47:14  11.5   0.0  88.5   0.0   0.0  105    515  26211    0    0    0 229.97 
11:47:15  11.5   0.0  88.5   0.0   0.0  105    507  26106    0    0    0 232.19 
11:47:16  11.5   0.0  88.5   0.0   0.0  105    937  26206    0    0    0 231.37 
11:47:17  11.8   0.0  88.2   0.0   0.0  105    520  26110    0    0    0 232.16 
11:47:18  11.8   0.0  88.2   0.0   0.0  105    507  26092    0    0    0 232.98 
11:47:19   9.3   0.0  90.7   0.0   0.0  105    509  26114    0    0    0 225.67 
11:47:20   3.5   0.0  96.4   0.0   0.0  107  23557 142639    1    0    0 213.15 
11:47:21   0.1   0.0  55.3  41.7   3.0   15  13816  19096    0    0    0 171.10 
11:47:22   0.0   0.0  43.8  55.9   0.3  107  12189  12686    0    0    0 152.81 
11:47:23   2.2   0.0  76.9  20.5   0.4  109  12649  35650    0    0    0 200.47 
11:47:24   0.8   0.0  93.7   3.2   2.3  108   7696  29906    0    0    1 207.57 
11:47:25   0.0   0.0 100.0   0.0   0.0  110    397  26218    0    0    0 208.33 
11:47:26   0.0   0.0 100.0   0.0   0.0  111    439  26573    0    0    0 208.35 
11:47:27   0.0   0.0 100.0   0.0   0.0  110    396  25387    0    0    0 208.19 
11:47:28   0.0   0.0 100.0   0.0   0.0  112    621  26861    0    0    0 207.85 
11:47:29   0.0   0.0 100.0   0.0   0.0  108    464  25839    0    0    0 208.60 
11:47:30   0.0   0.0  99.9   0.0   0.1  111    891  27424    0    0    1 208.98 
11:47:31   0.4   0.0  99.3   0.2   0.1  111   2119  26382    0    0    0 209.81 
11:47:32   0.2   0.0  99.1   0.7   0.0  109   5013  27619    0    0    0 208.65 
11:47:33   0.0   0.0  99.3   0.6   0.0  113   1298  26520    0    0    0 208.67 
11:47:34   0.0   0.0  99.1   0.9   0.0  107    572  25632    0    0    0 208.12 
11:47:35   0.0   0.0  99.0   0.9   0.0  109    606  25910    0    0    0 207.30 
11:47:36   0.0   0.0  80.8  19.2   0.0   69   1275  25751    0    0   42 191.99 
11:47:37   0.1   0.0  15.3  84.4   0.2    1   3527  16291    0    0   64 119.44 
11:47:38   2.8   0.0   2.5  94.2   0.5    2   6021   8340   65    2   65 109.65 
11:47:39   1.5   0.0  22.6  74.0   2.0   53  26108  17673   62  115    4 157.42 
11:47:40  17.1   0.0  47.0  35.4   0.5  105  73510  24780   52    0    0 198.00 
11:47:41  12.1   0.0  87.9   0.0   0.0  105    546  27178    0    0    0 214.55 
11:47:42  11.8   0.0  88.2   0.0   0.0  105    557  26163    0    0    0 214.93 
11:47:43  12.2   0.0  87.8   0.0   0.0  105    561  26171    0    0    0 214.94 
11:47:44  11.9   0.0  88.1   0.0   0.0  105    830  26350    0    0    0 215.33 
11:47:45  11.9   0.0  88.1   0.0   0.0  105    557  26166    0    0    0 214.99 
11:47:46  11.8   0.0  88.2   0.0   0.0  105    577  26158    0    0    0 215.16 
11:47:47  11.7   0.0  88.3   0.0   0.0  106    744  26324    0    0    0 215.19 
11:47:48  12.1   0.0  87.9   0.0   0.0  106  11368  27136    5    0    0 216.00 
11:47:49  12.1   0.0  87.9   0.0   0.0  106   3740  27412    2    0    0 216.40 
11:47:50  11.7   0.0  88.3   0.0   0.0  106   4335  27458    0    0    0 216.21 
11:47:51  11.9   0.0  88.1   0.0   0.0  105   1042  26422    0    0    0 215.63 
11:47:52  11.9   0.0  88.1   0.0   0.0  105    779  26306    0    0    0 215.77 
11:47:53  11.7   0.0  88.3   0.0   0.0  105    571  26190    0    0    0 215.42 
11:47:54  17.0   0.0  83.0   0.0   0.0  105    557  26188    0    0    0 219.42 
11:47:55  44.4   0.0  52.0   3.6   0.0   96    589  25373    0    0    0 222.81 
11:47:56  64.8   0.0  14.6  20.6   0.0   70    691  21214    0    0    0 217.11 
11:47:57  71.0   0.0   8.3  20.7   0.0  105    538  21357    0    0    0 234.97 
11:47:58  35.1   0.0  64.8   0.0   0.0  105    513  26425    0    0    0 253.08 
11:47:59  20.5   0.0  79.5   0.0   0.0  105    573  26308    0    0    0 252.83 
11:48:00  59.5   0.0  40.5   0.0   0.0  105    999  26496    0    0    0 261.85 
11:48:01  99.6   0.0   0.4   0.0   0.0  105    534  26431    0    0    0 287.09 
11:48:02  67.6   0.0  21.3  11.1   0.0   53    608  23834    0    0    0 254.06 
