Running for 7200.0 seconds (7200 samples at 1.0 second intervals).
Power measurements will start in 0 seconds time.

  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts
12:27:12  33.4   0.0   4.9  61.6   0.0   65   1407  13831    0    0    0 469.86 
12:27:13  34.9   0.0   6.4  58.6   0.0   33   1353  14504    0    0    0 479.37 
12:27:14  24.3   0.0   0.8  75.0   0.0   34   1420   9393    0    0    0 411.01 
12:27:15  46.1   0.0   1.9  52.0   0.0   52   1986  16943    0    0    2 513.10 
12:27:16  39.5   0.0   1.6  58.9   0.0   33   1418  14364    0    0    0 483.91 
12:27:17  24.1   0.0   0.9  75.0   0.0   33   1423   9536    0    0    0 412.08 
12:27:18  43.7   0.0   1.4  54.9   0.0   65   1310  15625    0    0    0 490.21 
12:27:19  32.8   0.0   1.5  65.7   0.0   33   1514  12182    0    0    0 450.75 
12:27:20  28.8   0.0   1.2  70.0   0.0   65   1307  10855    0    0    0 434.28 
12:27:21  45.7   0.0   2.6  51.7   0.0   65   1300  16699    0    0    0 516.98 
12:27:22  33.8   0.0   2.0  64.1   0.0   33   1336  12614    0    0    0 459.24 
12:27:23  25.3   0.0   1.2  73.5   0.0   62   1556   9765    0    0    0 416.87 
12:27:24  47.7   0.0   2.3  50.0   0.0   65   1796  17400    0    0    0 513.34 
12:27:25  26.7   0.0   1.1  72.2   0.0   33   1392  10114    0    0    0 425.51 
12:27:26  34.8   0.0   1.3  63.8   0.0   65   1334  12854    0    0    0 459.39 
12:27:27  47.6   0.0   1.1  51.2   0.0   65   1605  16767    0    0    0 517.45 
12:27:28  26.2   0.0   1.5  72.3   0.0   33   1336  10114    0    0    0 424.02 
12:27:29  34.6   0.0   1.2  64.2   0.0   65   1325  12722    0    0    0 451.72 
12:27:30  41.9   0.0   1.7  56.4   0.0   33   1298  15241    0    0    0 490.31 
12:27:31  24.2   0.0   0.8  75.0   0.0   33   1479   9280    0    0    0 411.27 
12:27:32  44.1   0.0   1.6  54.4   0.0   65   1414  15883    0    0    0 501.01 
12:27:33  42.0   0.0   1.8  56.2   0.0   33   1410  15264    0    0    0 495.88 
12:27:34  24.2   0.0   0.8  75.0   0.0   33   1334   9279    0    0    0 412.44 
12:27:35  41.1   0.0   1.5  57.4   0.0   65   1699  14963    0    0    0 477.70 
12:27:36  36.3   0.0   1.4  62.3   0.0   33   1281  13295    0    0    0 463.97 
12:27:37  26.0   0.0   0.9  73.1   0.0   64   1262   9797    0    0    0 420.33 
12:27:38  46.3   0.0   2.2  51.4   0.0   65   1339  16794    0    0    0 516.31 
12:27:39  37.1   0.0   1.6  61.3   0.0   33   1559  13692    0    0    0 471.84 
12:27:40  24.1   0.0   1.3  74.7   0.0   42   1268   9401    0    0    0 412.89 
12:27:41  47.1   0.0   1.8  51.2   0.0   65   1258  16814    0    0    0 504.65 
12:27:42  29.0   0.0   1.1  70.0   0.0   33   1280  10784    0    0    0 436.50 
12:27:43  32.6   0.0   1.3  66.1   0.0   65   1532  12102    0    0    0 449.47 
12:27:44  47.4   0.0   1.5  51.1   0.0   65   1429  16819    0    0    0 518.53 
12:27:45  29.3   0.0   1.6  69.1   0.0   33   1369  11143    0    0    0 437.96 
12:27:46  31.2   0.0   1.1  67.6   0.0   65   1282  11563    0    0    0 436.00 
12:27:47  45.5   0.0   1.8  52.7   0.0   33   1537  16391    0    0    0 504.59 
12:27:48  24.2   0.0   0.8  75.0   0.0   33   1274   9363    0    0    0 412.41 
12:27:49  40.9   0.0   1.2  57.9   0.0   65   1303  14698    0    0    0 483.12 
12:27:50  45.5   0.0   1.5  53.0   0.0   33   1368  16205    0    0    0 510.39 
12:27:51  24.2   0.0   0.8  75.0   0.0   33   1499   9277    0    0    0 413.87 
12:27:52  39.2   0.0   1.3  59.5   0.0   65   1265  14205    0    0    0 469.51 
12:27:53  37.4   0.0   1.4  61.2   0.0   33   1345  13686    0    0    0 470.18 
12:27:54  24.8   0.0   0.9  74.3   0.0   51   1341   9500    0    0    0 415.62 
12:27:55  46.5   0.0   1.9  51.6   0.0   59   1588  16720    0    0    0 515.09 
12:27:56  38.1   0.0   1.2  60.7   0.0   33   1358  13795    0    0    0 474.94 
12:27:57  24.3   0.0   1.0  74.7   0.0   44   1345   9528    0    0    0 413.06 
12:27:58  47.7   0.0   1.3  51.0   0.0   65   1333  16973    0    0    0 503.05 
12:27:59  29.1   0.0   0.9  70.0   0.0   33   1516  10872    0    0    0 436.49 
12:28:00  33.3   0.0   1.2  65.5   0.0   65   1264  12211    0    0    0 452.04 
12:28:01  46.8   0.0   1.8  51.4   0.0   65   1285  16661    0    0    0 517.34 
12:28:02  29.9   0.0   1.5  68.7   0.0   33   1335  11280    0    0    0 440.67 
12:28:03  30.2   0.0   1.3  68.4   0.0   65   1562  11428    0    0    0 435.96 
12:28:04  46.0   0.0   1.6  52.4   0.0   33   1399  16374    0    0    0 504.99 
12:28:05  24.0   0.0   1.0  75.0   0.0   33   1229   9407    0    0    0 412.60 
12:28:06  40.7   0.0   1.2  58.2   0.0   65   1351  14657    0    0    0 483.03 
12:28:07  46.0   0.0   1.0  53.0   0.0   33   1629  16160    0    0    0 509.74 
12:28:08  24.0   0.0   1.0  75.0   0.0   33   1257   9167    0    0    0 413.33 
12:28:09  38.8   0.0   1.5  59.7   0.0   65   1292  14142    0    0    0 471.99 
12:28:10  37.0   0.0   1.2  61.8   0.0   33   1313  13308    0    0    0 468.19 
12:28:11  25.2   0.0   0.8  74.0   0.0   62   1518   9650    0    0    0 418.07 
12:28:12  47.0   0.0   1.7  51.3   0.0   65   1293  16693    0    0    0 515.25 
12:28:13  38.0   0.0   1.1  60.9   0.0   33   1291  13700    0    0    0 473.16 
12:28:14  24.3   0.0   0.9  74.8   0.0   42   1348   9531    0    0    0 412.94 
