Running for 7200.0 seconds (7200 samples at 1.0 second intervals).
Power measurements will start in 0 seconds time.

  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts
10:42:49   0.5   0.0   6.3  93.1   0.0   14 148833  36004   50   68    2 277.08 
10:42:50   8.5   0.0  42.8  48.7   0.0  129  29430  26508  114    0    0 400.29 
10:42:51  71.8   0.0  28.2   0.0   0.0  129   1759  36386    0    0    0 503.44 
10:42:52  87.5   0.0   6.8   5.7   0.0  129   2376  39109    0    0    0 521.78 
10:42:53  88.9   0.0   2.4   8.6   0.0  129   2343  31620    0    0    0 498.20 
10:42:54  92.5   0.0   2.1   5.3   0.0  129   2402  32977    0    0    0 499.19 
10:42:55  88.6   0.0   3.1   8.3   0.0  126   2325  30732    0    0    0 497.19 
10:42:56  92.7   0.0   2.4   4.8   0.0  129   2400  32428    0    0    0 499.46 
10:42:57  90.4   0.0   2.0   7.6   0.0  131   2319  31583    0    0    0 498.15 
10:42:58  92.2   0.0   2.3   5.6   0.0  129   2187  31846    0    0    0 498.33 
10:42:59  87.6   0.0   4.1   8.3   0.0  129   2173  31244    0    0    0 498.72 
10:43:00  91.8   0.0   2.3   5.9   0.0   39   2124  32058    0    0    0 496.32 
10:43:01  92.8   0.0   2.1   5.1   0.0  129   2079  31898    0    0    0 500.18 
10:43:02  92.9   0.0   2.3   4.8   0.0  114   2101  32284    0    0    0 498.05 
10:43:03  91.3   0.0   2.0   6.7   0.0  129   2150  31803    0    0    0 497.83 
10:43:04  91.5   0.0   2.4   6.1   0.0  111   2057  31469    0    0    0 497.48 
10:43:05  93.4   0.0   2.0   4.6   0.0  129   1871  31787    0    0    0 499.52 
10:43:06  92.6   0.0   1.9   5.4   0.0   33   2462  32080    0    0    0 496.90 
10:43:07  92.6   0.0   1.6   5.8   0.0  129   2060  31689    0    0    0 499.18 
10:43:08  91.7   0.0   2.0   6.3   0.0  120   2126  31581    0    0    0 497.77 
10:43:09  93.8   0.0   1.9   4.3   0.0  129   1889  31980    0    0    0 499.38 
10:43:10  92.2   0.0   2.1   5.8   0.0   51   2119  31646    0    0    0 496.30 
10:43:11  93.6   0.0   1.9   4.5   0.0  130   2039  31952    0    0    0 500.12 
10:43:12  92.1   0.0   2.0   5.9   0.0  129   2012  31724    0    0    0 497.69 
10:43:13  93.7   0.0   2.1   4.2   0.0  129   1803  31906    0    0    0 498.82 
10:43:14  91.6   0.0   2.1   6.4   0.0  108   2187  31375    0    0    0 496.26 
10:43:15  93.8   0.0   1.8   4.4   0.0  129   1946  32086    0    0    0 500.14 
10:43:16  92.3   0.0   1.7   6.0   0.0  129   2015  31423    0    0    0 498.22 
10:43:17  94.5   0.0   1.6   3.9   0.0  129   1883  32181    0    0    0 498.59 
10:43:18  92.2   0.0   1.7   6.2   0.0  129   2174  31468    0    0    0 497.12 
10:43:19  94.3   0.0   1.7   4.0   0.0  129   2047  32126    0    0    0 499.24 
10:43:20  92.2   0.0   1.6   6.2   0.0  129   2007  31163    0    0    0 498.42 
10:43:21  94.2   0.0   1.8   4.0   0.0  129   2066  32069    0    0    0 498.15 
10:43:22  91.9   0.0   1.7   6.3   0.0  129   2206  31252    0    0    0 497.67 
10:43:23  94.2   0.0   2.0   3.8   0.0  114   1934  32114    0    0    0 498.91 
10:43:24  92.6   0.0   1.5   5.9   0.0  129   2069  31600    0    0    0 498.31 
10:43:25  94.1   0.0   1.6   4.3   0.0   87   1844  31749    0    0    0 497.97 
10:43:26  92.7   0.0   1.6   5.7   0.0  129   2171  31211    0    0    0 498.58 
10:43:27  92.2   0.0   1.8   6.0   0.0  129   2242  31448    0    0    0 498.15 
10:43:28  93.9   0.0   1.9   4.2   0.0  129   1848  31840    0    0    0 498.76 
10:43:29  91.9   0.0   1.5   6.6   0.0  129   2019  31264    0    0    0 496.07 
10:43:30  94.5   0.0   1.7   3.8   0.0  129   2303  32027    1    0    1 500.09 
10:43:31  92.5   0.0   1.6   5.9   0.0  129   2230  31437    0    0    0 498.51 
10:43:32  93.9   0.0   1.8   4.3   0.0   87   1838  31808    0    0    0 497.74 
10:43:33  92.7   0.0   1.4   5.8   0.0  129   3449  32092    0    0    0 498.78 
10:43:34  92.3   0.0   1.9   5.9   0.0  126   2205  31120    0    0    0 497.33 
10:43:35  94.6   0.0   1.6   3.9   0.0  129   1957  32012    0    0    0 499.06 
10:43:36  92.5   0.0   1.5   6.0   0.0  129   2011  31203    0    0    0 496.85 
10:43:37  94.3   0.0   1.7   4.1   0.0  129   1893  32165    0    0    0 499.81 
10:43:38  92.6   0.0   1.6   5.7   0.0  129   2145  31197    0    0    0 497.98 
10:43:39  61.5   0.0  35.5   3.1   0.0  116   1930  33456    0    0    0 497.70 
